locus,gene_weight,gene_name,gene_product,COG,operon,regulator,sigD,link
Rv1441c,0.0815953115,PE_PGRS26,PE-PGRS family protein PE_PGRS26,Lipid transport and metabolism,Op926,"csoR,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv1441c
Rv0297,0.0815943262,PE_PGRS5,PE-PGRS family protein PE_PGRS5,Energy production and conversion,Op201,"Rv0023,Rv1255c,Rv1776c,Rv3488,Rv3830c",False,https://mycobrowser.epfl.ch/genes/Rv0297
Rv0834c,0.0795971848,PE_PGRS14,PE-PGRS family protein PE_PGRS14,No COG annotation,Op537,"Rv0678,csoR,mprA,mprB,Rv1353c,Rv2250c,Rv3058c",False,https://mycobrowser.epfl.ch/genes/Rv0834c
Rv2126c,0.0792100536,PE_PGRS37,PE-PGRS family protein PE_PGRS37,No COG annotation,Op1331,"Rv0023,trcR",False,https://mycobrowser.epfl.ch/genes/Rv2126c
Rv1840c,0.0786428517,PE_PGRS34,PE-PGRS family protein PE_PGRS34,Lipid transport and metabolism,Op1160,"Rv0023,Rv0135c,Rv0678,csoR,sigI,whiA,Rv2021c,Rv3736",False,https://mycobrowser.epfl.ch/genes/Rv1840c
Rv2615c,0.07625368560000001,PE_PGRS45,PE-PGRS family protein PE_PGRS45,Energy production and conversion,Op1647,"csoR,espR",False,https://mycobrowser.epfl.ch/genes/Rv2615c
Rv3653,0.0757918747,PE_PGRS61,PE-PGRS family-related protein PE_PGRS61,No COG annotation,Op2283,"ssb,Rv0081,Rv0348,hspR,Rv0472c,Rv0560c,sigL,Rv0818,Rv0891c,csoR,Rv1167c,Rv1186c,vapB11,Rv2242,hrcA,Rv2478c,vapB40,Rv2827c,groEL1",False,https://mycobrowser.epfl.ch/genes/Rv3653
Rv1759c,0.0749578637,wag22,PE-PGRS family protein Wag22,No COG annotation,Op1100,"Rv0023,ssb,Rv0302,Rv0348,hspR,Rv0472c,Rv0560c,Rv0653c,sigL,Rv0818,csoR,Rv1167c,Rv1186c,Rv1353c,marR,vapB11,Rv1773c,Rv1816,mbcA,Rv2242,hrcA,Rv2478c,vapB40,Rv2887,Rv3167c,Rv3249c,groEL1,Rv3736,tcrX,Rv3840",False,https://mycobrowser.epfl.ch/genes/Rv1759c
Rv0872c,0.0729601784,PE_PGRS15,PE-PGRS family protein PE_PGRS15,Lipid transport and metabolism,Op564,"Rv0302,csoR,mbcA,sigB",False,https://mycobrowser.epfl.ch/genes/Rv0872c
Rv2162c,0.07119272,PE_PGRS38,PE-PGRS family protein PE_PGRS38,Lipid transport and metabolism,Op1351,"csoR,Rv1049,sigB,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv2162c
Rv1243c,0.0703615197,PE_PGRS23,PE-PGRS family protein PE_PGRS23,Function unknown,Op814,"Rv1353c,Rv2034,Rv2324,devR",False,https://mycobrowser.epfl.ch/genes/Rv1243c
Rv0649,0.0691381397,fabD2,malonyl CoA-acyl carrier protein transacylase,No COG annotation,Op426,"csoR,Rv1776c,mbcA",False,https://mycobrowser.epfl.ch/genes/Rv0649
Rv1818c,0.0684027375,PE_PGRS33,PE-PGRS family protein PE_PGRS33,Lipid transport and metabolism,Op1146,"Rv0081,Rv0691c,Rv1816,sigB,kstR,Rv3830c",False,https://mycobrowser.epfl.ch/genes/Rv1818c
Rv0603,0.0667122144,Rv0603,hypothetical protein,No COG annotation,Op396,"tcrA,Rv1353c,Rv1719,Rv1776c,Rv3765",False,https://mycobrowser.epfl.ch/genes/Rv0603
Rv2654c,0.0656397734,Rv2654c,antitoxin,No COG annotation,Op1675,Rv1353c,False,https://mycobrowser.epfl.ch/genes/Rv2654c
Rv2487c,0.0650900804,PE_PGRS42,PE-PGRS family protein PE_PGRS42,No COG annotation,Op1572,"Rv0560c,sigL,csoR,Rv1167c,Rv1353c,Rv1358,mbcA,hrcA,tcrX",False,https://mycobrowser.epfl.ch/genes/Rv2487c
Rv2634c,0.0634701307,PE_PGRS46,PE-PGRS family protein PE_PGRS46,No COG annotation,Op1662,"Rv0023,Rv0081,Rv0324,iniR,sigL,csoR,Rv1353c,higA,kstR",False,https://mycobrowser.epfl.ch/genes/Rv2634c
Rv2741,0.061550522600000004,PE_PGRS47,PE-PGRS family protein PE_PGRS47,Function unknown,Op1732,"Rv0023,Rv0081,Rv3249c",False,https://mycobrowser.epfl.ch/genes/Rv2741
Rv0581,0.0608226371,vapB26,antitoxin VapB26,Function unknown,Op385,Rv1816,False,https://mycobrowser.epfl.ch/genes/Rv0581
Rv2153c,0.0566058523,murG,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol-N-acetylglucosamine transferase,Cell wall/membrane/envelope biogenesis,Op1349,"Rv0135c,Rv0324,csoR,trcR,Rv1353c,Rv1776c,Rv1816,Rv3249c,Rv3830c",False,https://mycobrowser.epfl.ch/genes/Rv2153c
Rv2352c,0.0543594929,PPE38,PPE family protein PPE38,Cell motility,Op1486,"Rv0081,iniR,tcrA,Rv0678,Rv0767c,csoR,trcR,lysG,mtrA,Rv3249c,kstR,lsr2,whiB4",False,https://mycobrowser.epfl.ch/genes/Rv2352c
Rv2853,0.0541943609,PE_PGRS48,PE-PGRS family protein PE_PGRS48,Function unknown,Op1793,"Rv0302,ccdA,sigL,csoR,Rv1353c",False,https://mycobrowser.epfl.ch/genes/Rv2853
Rv2365c,0.0534257078,Rv2365c,hypothetical protein,Nucleotide transport and metabolism,Op1493,"Rv0023,Rv0081,Rv0324,phoP,mbcA,Rv3249c",False,https://mycobrowser.epfl.ch/genes/Rv2365c
Rv0980c,0.0526884776,PE_PGRS18,PE-PGRS family protein PE_PGRS18,Function unknown,Op635,"Rv0135c,Rv1776c,Rv2011c",False,https://mycobrowser.epfl.ch/genes/Rv0980c
Rv1651c,0.0517755878,PE_PGRS30,PE-PGRS family protein PE_PGRS30,Function unknown,Op1044,"Rv0081,csoR,Rv1353c,argR,Rv1816,Rv2021c",False,https://mycobrowser.epfl.ch/genes/Rv1651c
Rv0064A,0.051397954200000005,vapB1,antitoxin VapB1,No COG annotation,Op44,,False,https://mycobrowser.epfl.ch/genes/Rv0064A
Rv0150c,-0.0571349175,Rv0150c,hypothetical protein,No COG annotation,Op109,"Rv0023,whiA,Rv1473A,mbcA,Rv2021c,Rv2250c,Rv3488",False,https://mycobrowser.epfl.ch/genes/Rv0150c
