locus,gene_weight,gene_name,gene_product,COG,operon,regulator,ideR,link
Rv2379c,0.1640373391,mbtF,peptide synthetase,"Secondary metabolites biosynthesis, transport, and catabolism",Op1502,"Rv0047c,Rv0135c,Rv0302,csoR,Rv1719,Rv1776c,Rv2034,Rv2250c,Rv3736,ideR",True,https://mycobrowser.epfl.ch/genes/Rv2379c
Rv2377c,0.163840641,Rv2377c,hypothetical protein,Function unknown,Op1501,"Rv0047c,Rv0135c,Rv0302,csoR,mprA,mprB,Rv1719,Rv1776c,Rv2034,Rv2250c,Rv2324,Rv3736,ideR",True,https://mycobrowser.epfl.ch/genes/Rv2377c
Rv2378c,0.1598465134,mbtG,L-lysine N6-monooxygenase,"Secondary metabolites biosynthesis, transport, and catabolism",Op1502,"Rv0047c,Rv0081,Rv0135c,Rv0302,Rv0678,csoR,mprA,mprB,Rv1776c,Rv1816,Rv2034,Rv2324,ideR",True,https://mycobrowser.epfl.ch/genes/Rv2378c
Rv1349,0.1548241004,irtB,iron ABC transporter ATP-binding protein/permease IrtB,Defense mechanisms,Op874,"Rv0135c,csoR,mprA,mprB,Rv1353c,Rv1816,Rv2034,sigH,kstR,lsr2,Rv3830c,ideR",True,https://mycobrowser.epfl.ch/genes/Rv1349
Rv1348,0.1526806565,irtA,iron ABC transporter ATP-binding protein/permease IrtA,Inorganic ion transport and metabolism,Op874,"Rv0023,Rv0273c,mprA,mprB,Rv1353c,Rv2034,sigH,kstR,Rv3736,ideR",True,https://mycobrowser.epfl.ch/genes/Rv1348
Rv1347c,0.1422558283,mbtK,lysine N-acetyltransferase MbtK,"Translation, ribosomal structure and biogenesis",Op873,"Rv0023,Rv0494,csoR,mprA,mprB,Rv1353c,Rv2034,lsr2,Rv3830c,ideR",True,https://mycobrowser.epfl.ch/genes/Rv1347c
Rv2122c,0.1216990926,hisE,phosphoribosyl-ATP pyrophosphatase,Amino acid transport and metabolism,Op1327,ideR,True,https://mycobrowser.epfl.ch/genes/Rv2122c
Rv1344,0.1124316799,mbtL,acyl carrier protein MbtL,Lipid transport and metabolism,Op872,"Rv0081,mprA,mprB,Rv1719,Rv1816,ideR",True,https://mycobrowser.epfl.ch/genes/Rv1344
Rv3840,0.11018159820000001,Rv3840,transcriptional regulator,Transcription,Op2403,"Rv0135c,Rv0324,mprA,mprB,trcR,Rv1353c,mbcA,Rv2034,Rv2324,ideR",True,https://mycobrowser.epfl.ch/genes/Rv3840
Rv2385,0.1063295497,mbtJ,acetyl hydrolase,Lipid transport and metabolism,Op1505,"Rv0328,ideR",True,https://mycobrowser.epfl.ch/genes/Rv2385
Rv3403c,0.0910845556,Rv3403c,hypothetical protein,Function unknown,Op2133,"Rv0023,Rv0047c,Rv0081,Rv0767c,mprA,mprB,Rv1719,Rv2324,lsr2,ideR",True,https://mycobrowser.epfl.ch/genes/Rv3403c
Rv1346,0.08970195730000001,mbtN,acyl-[acyl-carrier-protein] dehydrogenase MbtN,Lipid transport and metabolism,Op872,"Rv0023,Rv0081,senX3,regX3,Rv1719,kstR,ideR",True,https://mycobrowser.epfl.ch/genes/Rv1346
Rv1345,0.0828385885,mbtM,long-chain-fatty-acid--ACP ligase MbtM,Lipid transport and metabolism,Op872,"Rv0081,Rv0135c,csoR,Rv1719,Rv1816,kstR,ideR",True,https://mycobrowser.epfl.ch/genes/Rv1345
Rv0451c,0.0824865169,mmpS4,membrane protein MmpS4,Function unknown,Op298,"Rv0023,Rv0081,Rv0158,nadR,Rv0767c,csoR,Rv1776c,Rv1816,lsr2,espR,ideR",True,https://mycobrowser.epfl.ch/genes/Rv0451c
Rv0450c,0.0760820749,mmpL4,transmembrane transport protein MmpL4,Function unknown,Op298,"Rv0023,Rv0081,Rv0273c,Rv0324,Rv0465c,Rv0474,tcrA,Rv0678,phoP,csoR,mprA,mprB,Rv1049,Rv1152,sigI,Rv1332,Rv1353c,lysG,mbcA,sigC,Rv2250c,Rv2324,sigA,Rv3050c,devR,Rv3160c,sigF,kstR,lsr2,whiB4,tcrX,espR,ethR,ideR",True,https://mycobrowser.epfl.ch/genes/Rv0450c
Rv1847,0.0750332375,Rv1847,esterase,"Secondary metabolites biosynthesis, transport, and catabolism",Op1163,"whiB5,Rv0023,Rv0465c,Rv0576,Rv1049,blaI",False,https://mycobrowser.epfl.ch/genes/Rv1847
Rv0449c,0.0695352377,Rv0449c,hypothetical protein,Function unknown,Op298,"whiB5,Rv0023,Rv0081,sigK,Rv0678,Rv1353c,Rv1776c,mbcA,Rv2021c,Rv3249c",False,https://mycobrowser.epfl.ch/genes/Rv0449c
Rv2121c,0.0694059664,hisG,ATP phosphoribosyltransferase,Nucleotide transport and metabolism,Op1327,"Rv0081,phoP,Rv1776c",False,https://mycobrowser.epfl.ch/genes/Rv2121c
Rv1343c,0.068003727,lprD,lipoprotein LprD,Defense mechanisms,Op871,"mprA,mprB,Rv1719,whiB4,ideR",True,https://mycobrowser.epfl.ch/genes/Rv1343c
Rv1520,0.0656157931,Rv1520,sugar transferase,Cell wall/membrane/envelope biogenesis,Op971,"Rv0324,Rv0576,Rv0678,phoP,Rv1776c,Rv2011c,Rv2034,Rv2642",False,https://mycobrowser.epfl.ch/genes/Rv1520
Rv0481c,0.0642238337,Rv0481c,hypothetical protein,Function unknown,Op320,"Rv0767c,csoR,Rv1816,Rv2011c,sigH",False,https://mycobrowser.epfl.ch/genes/Rv0481c
Rv0285,0.0579616181,PE5,PE family protein PE5,Function unknown,Op195,"Rv0047c,Rv0135c,Rv0302,Rv0767c,csoR,Rv1353c,Rv1776c,Rv1816,Rv2034,zur,lsr2,ideR",True,https://mycobrowser.epfl.ch/genes/Rv0285
Rv1342c,0.0571493054,Rv1342c,hypothetical protein,Function unknown,Op871,"Rv0081,mprA,mprB,Rv1049,Rv1719,Rv1776c,Rv2021c,Rv3249c,kstR,whiB4,Rv3830c",False,https://mycobrowser.epfl.ch/genes/Rv1342c
Rv0286,0.056449416,PPE4,PPE family protein PPE4,Cell motility,Op195,"Rv0047c,Rv0081,Rv0135c,Rv0302,Rv0324,Rv0767c,csoR,mprA,mprB,trcR,Rv1353c,Rv1473A,Rv1719,Rv1776c,Rv1816,Rv2034,zur,devR,Rv3249c,lsr2,tcrX,ideR",True,https://mycobrowser.epfl.ch/genes/Rv0286
Rv0284,0.0542793013,eccC3,ESX-3 secretion system protein EccC3,"Cell cycle control, cell division, chromosome partitioning",Op195,"Rv0047c,Rv0135c,Rv0302,Rv0324,Rv0767c,Rv1049,Rv1776c,Rv1816,Rv2034,zur,Rv3249c,lsr2,ideR",True,https://mycobrowser.epfl.ch/genes/Rv0284
Rv0289,0.0536391933,espG3,ESX-3 secretion-associated protein EspG3,Function unknown,Op196,"Rv0047c,Rv0081,Rv0135c,Rv0302,Rv0324,Rv0767c,csoR,mprA,mprB,Rv1353c,Rv1473A,Rv1719,Rv1776c,Rv1816,Rv2034,zur,Rv2989,devR,Rv3249c,lsr2,ideR",True,https://mycobrowser.epfl.ch/genes/Rv0289
Rv0283,0.050417126900000005,eccB3,ESX-3 secretion system protein EccB3,Function unknown,Op195,"Rv0047c,Rv0135c,Rv0302,Rv0767c,csoR,Rv1353c,Rv1816,Rv2034,Rv2324,zur,lsr2,ideR",True,https://mycobrowser.epfl.ch/genes/Rv0283
Rv0291,0.0498582615,mycP3,membrane-anchored mycosin MycP,"Post-translational modification, protein turnover,and chaperones",Op197,"Rv0047c,Rv0081,Rv0135c,Rv0302,Rv0324,Rv0767c,csoR,Rv1353c,Rv1473A,Rv1719,Rv1776c,Rv1816,Rv2034,zur,Rv2989,devR,Rv3249c,lsr2,ideR",True,https://mycobrowser.epfl.ch/genes/Rv0291
Rv0290,0.04976687,eccD3,ESX-3 secretion system protein EccD,Function unknown,Op197,"Rv0047c,Rv0081,Rv0135c,Rv0302,Rv0324,Rv0767c,csoR,mprA,mprB,Rv1353c,Rv1473A,Rv1776c,Rv1816,Rv2034,zur,Rv2989,devR,Rv3249c,lsr2,ideR",True,https://mycobrowser.epfl.ch/genes/Rv0290
Rv0288,0.048108578400000004,esxH,ESAT-6-like protein EsxH,Function unknown,Op196,"Rv0047c,Rv0081,Rv0135c,Rv0302,Rv0324,Rv0767c,csoR,mprA,mprB,Rv1353c,Rv1473A,Rv1719,Rv1776c,Rv1816,Rv2034,zur,Rv2989,devR,Rv3249c,lsr2,ideR",True,https://mycobrowser.epfl.ch/genes/Rv0288
Rv0287,0.0470256662,esxG,ESAT-6 like protein EsxG,No COG annotation,Op196,"Rv0047c,Rv0135c,Rv0302,Rv0324,Rv0767c,csoR,sigE,Rv1353c,Rv1719,Rv1776c,Rv1816,Rv2034,zur,Rv3249c,lsr2,ideR",True,https://mycobrowser.epfl.ch/genes/Rv0287
Rv2622,0.0442493678,Rv2622,methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",Op1652,"Rv0081,mprA,mprB,Rv2621c,whiB4",False,https://mycobrowser.epfl.ch/genes/Rv2622
Rv0338c,-0.0458948251,Rv0338c,iron-sulfur-binding reductase,Energy production and conversion,Op232,"Rv0023,Rv0047c,Rv0302,csoR,Rv1255c,Rv1816,Rv2011c,Rv2250c,Rv2324,devR,Rv3249c,kstR,ethR,ideR",True,https://mycobrowser.epfl.ch/genes/Rv0338c
Rv3841,-0.17243359700000002,bfrB,bacterioferritin BfrB,Inorganic ion transport and metabolism,Op2404,"Rv0081,Rv0324,sigI,sigH,lsr2,ideR",True,https://mycobrowser.epfl.ch/genes/Rv3841
