locus,gene_weight,gene_name,gene_product,COG,operon,regulator,devR,link
Rv2628,0.09520406070000001,Rv2628,hypothetical protein,No COG annotation,Op1657,"Rv0023,Rv0767c,Rv1816",False,https://mycobrowser.epfl.ch/genes/Rv2628
Rv0573c,0.09463323800000001,pncB2,nicotinic acid phosphoribosyltransferase PncB2,Nucleotide transport and metabolism,Op379,"Rv0023,Rv0047c,Rv0653c,csoR,marR,Rv1816,Rv2021c,devR,kstR,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv0573c
Rv1737c,0.0934137803,narK2,nitrate/nitrite transporter,Inorganic ion transport and metabolism,Op1084,"Rv0047c,csoR,mprA,mprB,devR",True,https://mycobrowser.epfl.ch/genes/Rv1737c
Rv0569,0.0905835598,Rv0569,hypothetical protein,Signal transduction mechanisms,Op376,"Rv0047c,Rv0324,mprA,mprB,Rv1353c",False,https://mycobrowser.epfl.ch/genes/Rv0569
Rv0571c,0.0874905057,Rv0571c,hypothetical protein,Function unknown,Op377,"Rv1353c,sigH,kstR",False,https://mycobrowser.epfl.ch/genes/Rv0571c
Rv2626c,0.0868052168,hrp1,hypoxic response protein,Function unknown,Op1655,"Rv0485,senX3,regX3,whiA,Rv1776c,sigH",False,https://mycobrowser.epfl.ch/genes/Rv2626c
Rv3134c,0.08037051390000001,Rv3134c,universal stress protein,Signal transduction mechanisms,Op1961,"phoP,Rv0767c,trcR,Rv1353c,Rv1473A,Rv2034,Rv3066,Rv3249c,sigM",False,https://mycobrowser.epfl.ch/genes/Rv3134c
Rv1812c,0.07963405080000001,Rv1812c,dehydrogenase,Energy production and conversion,Op1140,"whiB5,Rv0081,Rv0324,senX3,regX3,tcrA,csoR,Rv1353c,Rv1816,mbcA,vapB15,Rv2250c,Rv2642,Rv3736",False,https://mycobrowser.epfl.ch/genes/Rv1812c
Rv2627c,0.0728496057,Rv2627c,hypothetical protein,Function unknown,Op1656,devR,True,https://mycobrowser.epfl.ch/genes/Rv2627c
Rv2007c,0.0654655439,fdxA,ferredoxin,Energy production and conversion,Op1262,"Rv0328,mprA,mprB,Acid Shock",False,https://mycobrowser.epfl.ch/genes/Rv2007c
Rv2027c,0.06391447680000001,dosT,two component sensor histidine kinase DosT,Nucleotide transport and metabolism,Op1273,"whiB5,Rv0023,Rv1219c,Rv1719,Rv1816",False,https://mycobrowser.epfl.ch/genes/Rv2027c
Rv0083,0.058326556200000004,Rv0083,oxidoreductase,Energy production and conversion,Op57,"Rv0047c,Rv0081,Rv0494,csoR,trcR,whiA,Rv1719,Rv1776c,Rv1816,lysG,mbcA,cmtR,devR,sigH,Rv3249c,kstR",True,https://mycobrowser.epfl.ch/genes/Rv0083
Rv0079,-0.0586263473,Rv0079,hypothetical protein,"Translation, ribosomal structure and biogenesis",Op56,"csoR,mprA,mprB,trcR,Rv3249c",False,https://mycobrowser.epfl.ch/genes/Rv0079
Rv1738,-0.0666275104,Rv1738,hypothetical protein,Function unknown,Op1085,"Rv0047c,Rv0328,csoR,mprA,mprB,sigH",False,https://mycobrowser.epfl.ch/genes/Rv1738
Rv3130c,-0.0861910146,tgs1,diacyglycerol O-acyltransferase,Lipid transport and metabolism,Op1959,"Rv0328,tcrA,sigH,sigM",False,https://mycobrowser.epfl.ch/genes/Rv3130c
