locus,gene_weight,gene_name,gene_product,COG,operon,regulator,lsr2,link
Rv2956,0.0607803858,Rv2956,hypothetical protein,Coenzyme transport and metabolism,Op1850,"Rv0023,Rv0081,Rv0324,csoR,Rv1473A,Rv1776c,Rv1816,kstR,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv2956
Rv0405,0.059927962,pks6,membrane bound polyketide synthase,"Secondary metabolites biosynthesis, transport, and catabolism",Op273,"whiB5,Rv0023,Rv0047c,Rv0067c,Rv0273c,Rv0324,sigK,Rv0465c,Rv0474,Rv0576,Rv0678,Rv0767c,trcR,sigI,Rv1255c,whiA,Rv1460,Rv1719,Rv1776c,Rv1816,lysG,cmtR,Rv2011c,Rv2034,Rv2250c,Rv2324,sigA,Rv2887,Rv2989,Rv3160c,sigH,Rv3249c,sigF,lrpA,sigD,Rv3488,lsr2,whiB4,Rv3736,ethR,PDIM;PGL Synthesis",True,https://mycobrowser.epfl.ch/genes/Rv0405
Rv2338c,0.0594626053,moeW,molybdopterin biosynthesis protein MoeW,Coenzyme transport and metabolism,Op1475,"Rv0047c,Rv0081,Rv0324,Rv0465c,phoP,Rv1049,sigI,Rv1353c,Rv2034,sigC,Rv3488,lsr2,tcrX",True,https://mycobrowser.epfl.ch/genes/Rv2338c
Rv3902c,0.0582442143,Rv3902c,hypothetical protein,Function unknown,Op2441,"Rv0023,Rv0047c,Rv0081,Rv0232,Rv0273c,sigK,Rv0494,Rv0576,tcrA,phoP,Rv1049,Rv1151c,Rv1255c,Rv1460,Rv1626,Rv1816,Rv1828,lysG,mbcA,Rv2034,sigC,bkaR,Rv2989,devR,Rv3160c,sigF,sigD,whiB4,tcrX,espR,ethR",False,https://mycobrowser.epfl.ch/genes/Rv3902c
Rv3114,0.056260126800000004,Rv3114,hypothetical protein,Nucleotide transport and metabolism,Op1951,"Rv0081,Rv0302,Rv0324,Rv2250c",False,https://mycobrowser.epfl.ch/genes/Rv3114
Rv2929,0.054658033700000004,Rv2929,hypothetical protein,No COG annotation,Op1839,"Rv0273c,phoP,whiA,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv2929
Rv1574,0.0542764382,Rv1574,phage protein,No COG annotation,Op1002,,False,https://mycobrowser.epfl.ch/genes/Rv1574
Rv2336,0.054041892200000004,Rv2336,hypothetical protein,No COG annotation,Op1473,"Rv0081,Rv0880,Rv1219c,Rv1353c,marR,Rv1473A,Rv1816,higA,mbcA,Rv2021c,sigC,kstR,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv2336
Rv1506c,0.0537777314,Rv1506c,hypothetical protein,Function unknown,Op962,"Rv0047c,trcR,cmtR,Rv3249c,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv1506c
Rv3260c,0.0528224126,whiB2,transcriptional regulator WhiB2,Transcription,Op2045,"Rv0023,marR,sigB,lrpA,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv3260c
Rv0469,0.0522930869,umaA,mycolic acid synthase UmaA,Cell wall/membrane/envelope biogenesis,Op312,"Rv0081,Rv0324,Rv0465c,tcrA,csoR,pyrR,Rv1816,Rv2034,sigH,Rv3249c,lsr2,espR",True,https://mycobrowser.epfl.ch/genes/Rv0469
Rv2022c,0.051714665900000005,Rv2022c,hypothetical protein,Function unknown,Op1270,"Rv0023,Rv0047c,Rv0081,Rv0678,mprA,mprB,Rv1776c,Rv1816,Rv2021c,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv2022c
Rv0451c,0.0509580793,mmpS4,membrane protein MmpS4,Function unknown,Op298,"Rv0023,Rv0081,Rv0158,nadR,Rv0767c,csoR,Rv1776c,Rv1816,lsr2,espR,ideR",True,https://mycobrowser.epfl.ch/genes/Rv0451c
Rv0032,0.050059468700000005,bioF2,8-amino-7-oxononanoate synthase,Coenzyme transport and metabolism,Op20,"Rv0324,Rv0465c,Rv0767c,csoR,lysG,Rv2324,Rv2989,sigH,lsr2,espR",True,https://mycobrowser.epfl.ch/genes/Rv0032
Rv3473c,-0.0617222127,bpoA,peroxidase BpoA,Lipid transport and metabolism,Op2175,"Rv0023,Rv0135c",False,https://mycobrowser.epfl.ch/genes/Rv3473c
