locus_tag,gene_name,accession,old_locus_tag,start,stop,strand,gene_product,COG,uniprot,operon
Rv0020c,fhaA,NC_000962.3,,23861,25444,-,FHA domain-containing protein FhaA,Signal transduction mechanisms,P71590,Op12
Rv0021c,Rv0021c,NC_000962.3,,25913,26881,-,hypothetical protein,Function unknown,P71591,Op13
Rv0022c,whiB5,NC_000962.3,,27023,27442,-,transcriptional regulator WhiB5,Transcription,P71592,Op14
Rv0023,Rv0023,NC_000962.3,,27595,28365,+,transcriptional regulator,Transcription,P9WMI3,Op15
Rv0024,Rv0024,NC_000962.3,,28362,29207,+,NLP/P60 family protein,Cell wall/membrane/envelope biogenesis,P71594,Op15
Rv0025,Rv0025,NC_000962.3,,29245,29607,+,hypothetical protein,Function unknown,P9WMA1,Op15
Rv0026,Rv0026,NC_000962.3,,29722,31068,+,hypothetical protein,Function unknown,P9WMB1,Op16
Rv0027,Rv0027,NC_000962.3,,31189,31506,+,hypothetical protein,Function unknown,P9WM99,Op17
Rv0028,Rv0028,NC_000962.3,,31514,31819,+,hypothetical protein,Function unknown,P9WM97,Op17
Rv0029,Rv0029,NC_000962.3,,32057,33154,+,hypothetical protein,No COG annotation,P71599,Op18
Rv0030,Rv0030,NC_000962.3,,33224,33553,+,hypothetical protein,Function unknown,P9WM95,Op19
Rv0032,bioF2,NC_000962.3,,34295,36610,+,8-amino-7-oxononanoate synthase,Coenzyme transport and metabolism,P9WQ85,Op20
Rv0033,acpA,NC_000962.3,,36607,36870,+,acyl carrier protein AcpA,Lipid transport and metabolism,I6WX95,Op20
Rv0034,Rv0034,NC_000962.3,,36867,37262,+,hypothetical protein,Function unknown,P9WM93,Op20
Rv0035,fadD34,NC_000962.3,,37259,38947,+,fatty-acid--CoA ligase FadD34,Lipid transport and metabolism,L7N699,Op20
Rv0036c,Rv0036c,NC_000962.3,,39056,39829,-,hypothetical protein,Function unknown,P9WM91,Op21
Rv0037c,Rv0037c,NC_000962.3,,39877,41202,-,MFS-type transporter,Amino acid transport and metabolism,P9WJY1,Op22
Rv0038,Rv0038,NC_000962.3,,41304,41912,+,hypothetical protein,Transcription,P9WFK5,Op23
Rv0039c,Rv0039c,NC_000962.3,,42004,42351,-,transmembrane protein,No COG annotation,P9WM89,Op24
Rv0040c,mtc28,NC_000962.3,,42433,43365,-,hypothetical protein,Function unknown,P9WIM9,Op25
Rv0041,leuS,NC_000962.3,,43562,46471,+,leucine--tRNA ligase,"Translation, ribosomal structure and biogenesis",P9WFV1,Op26
Rv0042c,Rv0042c,NC_000962.3,,46581,47207,-,transcriptional regulator,Transcription,P71699,Op27
Rv0043c,Rv0043c,NC_000962.3,,47366,48100,-,HTH-type transcriptional regulator,Transcription,P9WMG9,Op28
Rv0044c,Rv0044c,NC_000962.3,,48233,49027,-,oxidoreductase,Energy production and conversion,P71701,Op29
Rv0045c,Rv0045c,NC_000962.3,,49043,49939,-,hydrolase,Amino acid transport and metabolism,I6XU97,Op29
Rv0046c,ino1,NC_000962.3,,50021,51124,-,inositol-3-phosphate synthase,Lipid transport and metabolism,P9WKI1,Op30
Rv0047c,Rv0047c,NC_000962.3,,51185,51727,-,hypothetical protein,Transcription,P71704,Op31
Rv0048c,Rv0048c,NC_000962.3,,51828,52697,-,membrane protein,Function unknown,P9WM87,Op32
Rv0049,Rv0049,NC_000962.3,,52831,53244,+,hypothetical protein,Function unknown,P9WM85,Op33
Rv0050,ponA1,NC_000962.3,,53663,55699,+,bifunctional penicillin-insensitive transglycosylase/penicillin-sensitive transpeptidase,Cell wall/membrane/envelope biogenesis,P71707,Op34
Rv0051,Rv0051,NC_000962.3,,55696,57378,+,transmembrane protein,Function unknown,P71708,Op34
Rv0052,Rv0052,NC_000962.3,,57410,57973,+,hypothetical protein,Function unknown,I6Y6S3,Op34
Rv0053,rpsF,NC_000962.3,,58192,58482,+,30S ribosomal protein S6,"Translation, ribosomal structure and biogenesis",P9WH31,Op35
Rv0054,ssb,NC_000962.3,,58586,59080,+,single-strand DNA-binding protein,"Replication, recombination and repair",P9WGD5,Op36
Rv0055,rpsR1,NC_000962.3,,59122,59376,+,30S ribosomal protein S18,"Translation, ribosomal structure and biogenesis",P9WH49,Op37
Rv0056,rplI,NC_000962.3,,59409,59867,+,50S ribosomal protein L9,"Translation, ribosomal structure and biogenesis",P9WH79,Op37
Rv0057,Rv0057,NC_000962.3,,59896,60417,+,hypothetical protein,No COG annotation,P9WM77,Op37
Rv0058,dnaB,NC_000962.3,,60396,63020,+,replicative DNA helicase,"Replication, recombination and repair",P9WMR3,Op38
Rv0059,Rv0059,NC_000962.3,,63200,63892,+,hypothetical protein,Cell wall/membrane/envelope biogenesis,O53604,Op39
Rv0060,Rv0060,NC_000962.3,,63909,64967,+,hypothetical protein,Function unknown,O53605,Op39
Rv0061c,Rv0061c,NC_000962.3,,65012,65350,-,hypothetical protein,No COG annotation,I6X8E6,Op40
Rv0062,celA1,NC_000962.3,,65552,66694,+,cellulase CelA,Carbohydrate transport and metabolism,Q79G13,Op41
Rv0063,Rv0063,NC_000962.3,,66923,68362,+,oxidoreductase,Energy production and conversion,O53608,Op42
Rv0063a,Rv0063a,NC_000962.3,,68418,68579,+,hypothetical protein,No COG annotation,UPI00000D2B28,Op43
Rv0064,Rv0064,NC_000962.3,,68620,71559,+,transmembrane protein,Function unknown,P9WFL5,Op44
Rv0064A,vapB1,NC_000962.3,,71589,71828,+,antitoxin VapB1,No COG annotation,P0CW29,Op44
Rv0065,vapC1,NC_000962.3,,71821,72222,+,ribonuclease VapC1,Nucleotide transport and metabolism,P9WFC1,Op44
Rv0066c,icd2,NC_000962.3,,72274,74511,-,isocitrate dehydrogenase,Energy production and conversion,O53611,Op45
Rv0067c,Rv0067c,NC_000962.3,,74629,75198,-,transcriptional regulator,Transcription,O53612,Op46
Rv0068,Rv0068,NC_000962.3,,75301,76212,+,oxidoreductase,Lipid transport and metabolism,O53613,Op47
Rv0069c,sdaA,NC_000962.3,,76237,77622,-,L-serine dehydratase,Amino acid transport and metabolism,C7FLQ4,Op48
Rv0070c,glyA2,NC_000962.3,,77619,78896,-,serine hydroxymethyltransferase,Amino acid transport and metabolism,P9WGI7,Op48
Rv0071,Rv0071,NC_000962.3,,79486,80193,+,maturase,"Replication, recombination and repair",O53616,Op49
Rv0072,Rv0072,NC_000962.3,,80624,81673,+,glutamine ABC transporter permease,Defense mechanisms,P9WG17,Op50
Rv0073,Rv0073,NC_000962.3,,81676,82668,+,glutamine ABC transporter ATP-binding protein,Defense mechanisms,P9WQK5,Op50
Rv0074,Rv0074,NC_000962.3,,82748,83983,+,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",O53619,Op51
Rv0075,Rv0075,NC_000962.3,,83996,85168,+,aminotransferase,Amino acid transport and metabolism,O53620,Op51
Rv0076c,Rv0076c,NC_000962.3,,85183,85572,-,membrane protein,No COG annotation,O53621,Op52
Rv0077c,Rv0077c,NC_000962.3,,85636,86466,-,oxidoreductase,Lipid transport and metabolism,O53622,Op53
Rv0078,Rv0078,NC_000962.3,,86528,87133,+,transcriptional regulator,Transcription,O53623,Op54
Rv0078A,Rv0078A,NC_000962.3,,87208,87801,-,hypothetical protein,Function unknown,L7N686,Op55
Rv0078B,Rv0078B,NC_000962.3,,87798,88004,-,hypothetical protein,No COG annotation,I6X8G2,Op55
Rv0079,Rv0079,NC_000962.3,,88204,89025,+,hypothetical protein,"Translation, ribosomal structure and biogenesis",P9WMA9,Op56
Rv0080,Rv0080,NC_000962.3,,89022,89480,+,hypothetical protein,Transcription,P9WMA5,Op56
Rv0081,Rv0081,NC_000962.3,,89575,89919,+,HTH-type transcriptional regulator,Transcription,P9WMI7,Op57
Rv0082,Rv0082,NC_000962.3,,89924,90403,+,oxidoreductase,Energy production and conversion,I6XUD2,Op57
Rv0083,Rv0083,NC_000962.3,,90400,92322,+,oxidoreductase,Energy production and conversion,P9WIW3,Op57
Rv0084,hycD,NC_000962.3,,92328,93278,+,formate hydrogenlyase HycD,Energy production and conversion,Q10881,Op57
Rv0085,hycP,NC_000962.3,,93289,93951,+,hydrogenase HycP,Energy production and conversion,P9WM75,Op57
Rv0086,hycQ,NC_000962.3,,93951,95417,+,hydrogenase HycQ,Energy production and conversion,Q10883,Op57
Rv0087,hycE,NC_000962.3,,95414,96892,+,formate hydrogenase HycE,Energy production and conversion,Q10884,Op57
Rv0088,Rv0088,NC_000962.3,,96927,97601,+,polyketide cyclase/dehydrase,Function unknown,P9WM73,Op57
Rv0089,Rv0089,NC_000962.3,,97758,98351,+,methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",P9WK03,Op58
Rv0090,Rv0090,NC_000962.3,,98480,99250,+,membrane protein,Function unknown,P9WM71,Op59
Rv0091,mtn,NC_000962.3,,99684,100451,+,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,Amino acid transport and metabolism,P9WJM3,Op60
Rv0092,ctpA,NC_000962.3,,100583,102868,+,cation transporter ATPase A,Inorganic ion transport and metabolism,P9WPU1,Op61
Rv0093c,Rv0093c,NC_000962.3,,102815,103663,-,membrane protein,Function unknown,P9WM69,Op62
Rv0094c,Rv0094c,NC_000962.3,,103710,104663,-,hypothetical protein,Defense mechanisms,Q50655,Op63
Rv0095c,Rv0095c,NC_000962.3,,104805,105215,-,hypothetical protein,Defense mechanisms,Q10891,Op64
Rv0096,PPE1,NC_000962.3,,105324,106715,+,PPE family protein PPE1,Cell motility,P9WI49,Op65
Rv0097,Rv0097,NC_000962.3,,106734,107603,+,oxidoreductase,"Secondary metabolites biosynthesis, transport, and catabolism",P9WG83,Op65
Rv0098,fcoT,NC_000962.3,,107600,108151,+,fatty acyl CoA thioesterase FcoT,Function unknown,P9WM67,Op65
Rv0099,fadD10,NC_000962.3,,108156,109778,+,fatty-acid--CoA ligase FadD10,Lipid transport and metabolism,P9WQ55,Op65
Rv0100,Rv0100,NC_000962.3,,109783,110019,+,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",P9WM65,Op65
Rv0101,nrp,NC_000962.3,,110001,117539,+,peptide synthetase Nrp,"Secondary metabolites biosynthesis, transport, and catabolism",Q10896,Op65
Rv0102,Rv0102,NC_000962.3,,117714,119699,+,integral membrane protein,Inorganic ion transport and metabolism,P9WM63,Op66
Rv0103c,ctpB,NC_000962.3,,119915,122173,-,cation-transporter P-type ATPase B,Inorganic ion transport and metabolism,P9WPT9,Op67
Rv0104,Rv0104,NC_000962.3,,122317,123831,+,hypothetical protein,Coenzyme transport and metabolism,P9WM61,Op68
Rv0105c,rpmB1,NC_000962.3,,123980,124264,-,50S ribosomal protein L28,"Translation, ribosomal structure and biogenesis",P9WHB1,Op69
Rv0106,Rv0106,NC_000962.3,,124374,125570,+,hypothetical protein,Function unknown,P9WPI5,Op70
Rv0107c,ctpI,NC_000962.3,,125643,130541,-,cation-transporter ATPase I,Inorganic ion transport and metabolism,P9WPS5,Op71
Rv0108c,Rv0108c,NC_000962.3,,130895,131104,-,hypothetical protein,No COG annotation,O53630,Op72
Rv0109,PE_PGRS1,NC_000962.3,,131382,132872,+,PE-PGRS family protein PE_PGRS1,Lipid transport and metabolism,L0T2H7,Op73
Rv0110,Rv0110,NC_000962.3,,133020,133769,+,integral membrane protein,Cell motility,O53632,Op74
Rv0111,Rv0111,NC_000962.3,,133950,136007,+,acyltransferase,Amino acid transport and metabolism,O53633,Op75
Rv0112,gca,NC_000962.3,,136289,137245,+,GDP-mannose 4%2C6-dehydratase,Carbohydrate transport and metabolism,O53634,Op76
Rv0113,gmhA,NC_000962.3,,137319,137909,+,phosphoheptose isomerase,Carbohydrate transport and metabolism,P9WGG1,Op77
Rv0114,gmhB,NC_000962.3,,137941,138513,+,D-glycero-alpha-D-manno-heptose-1%2C7-bisphosphate 7-phosphatase,Amino acid transport and metabolism,P9WMV3,Op77
Rv0115,hddA,NC_000962.3,,138513,139673,+,D-alpha-D-heptose-7-phosphate kinase HddA,Function unknown,O53637,Op77
Rv0115a,Rv0115a,NC_000962.3,,139956,140144,+,hypothetical protein,No COG annotation,UPI00000D2B30,Op78
Rv0116c,ldtA,NC_000962.3,,140267,141022,-,L%2CD-transpeptidase LdtA,Function unknown,O53638,Op79
Rv0117,oxyS,NC_000962.3,,141200,142144,+,oxidative stress response regulatory protein OxyS,Transcription,L7N677,Op80
Rv0118c,oxcA,NC_000962.3,,142128,143876,-,oxalyl-CoA decarboxylase OxcA,Amino acid transport and metabolism,O53639,Op81
Rv0119,fadD7,NC_000962.3,,144049,145626,+,fatty-acid--CoA ligase FadD7,Lipid transport and metabolism,O07169,Op82
Rv0120c,fusA2,NC_000962.3,,145627,147771,-,elongation factor G,"Translation, ribosomal structure and biogenesis",P9WNM9,Op83
Rv0121c,Rv0121c,NC_000962.3,,147908,148342,-,hypothetical protein,Function unknown,O07171,Op84
Rv0122,Rv0122,NC_000962.3,,148491,148859,+,hypothetical protein,No COG annotation,O07172,Op85
Rv0123,Rv0123,NC_000962.3,,148856,149224,+,hypothetical protein,No COG annotation,O07173,Op85
Rv0124,PE_PGRS2,NC_000962.3,,149533,150996,+,PE-PGRS family protein PE_PGRS2,Lipid transport and metabolism,Q79G08,Op86
Rv0125,pepA,NC_000962.3,,151148,152215,+,serine protease PepA,Cell wall/membrane/envelope biogenesis,O07175,Op87
Rv0126,treS,NC_000962.3,,152324,154129,+,trehalose synthase/amylase TreS,Carbohydrate transport and metabolism,P9WQ19,Op88
Rv0127,mak,NC_000962.3,,154232,155599,+,maltokinase,Carbohydrate transport and metabolism,O07177,Op88
Rv0128,Rv0128,NC_000962.3,,155667,156446,+,transmembrane protein,Function unknown,P96805,Op89
Rv0129c,fbpC,NC_000962.3,,156578,157600,-,diacylglycerol acyltransferase/mycolyltransferase Ag85C,Function unknown,P9WQN9,Op90
Rv0130,htdZ,NC_000962.3,,157847,158302,+,3-hydroxyl-thioester dehydratase,Lipid transport and metabolism,P9WNP3,Op91
Rv0131c,fadE1,NC_000962.3,,158315,159658,-,acyl-CoA dehydrogenase FadE1,Lipid transport and metabolism,P96808,Op92
Rv0132c,fgd2,NC_000962.3,,159700,160782,-,F420-dependent glucose-6-phosphate dehydrogenase,Energy production and conversion,P96809,Op93
Rv0133,Rv0133,NC_000962.3,,160869,161474,+,GCN5-like N-acetyltransferase,Transcription,P96810,Op94
Rv0134,ephF,NC_000962.3,,161771,162673,+,epoxide hydrolase EphF,Lipid transport and metabolism,P96811,Op95
Rv0135c,Rv0135c,NC_000962.3,,162644,163249,-,transcriptional regulator,Transcription,P96812,Op96
Rv0136,cyp138,NC_000962.3,,163366,164691,+,cytochrome P450 Cyp138,"Secondary metabolites biosynthesis, transport, and catabolism",P9WPM3,Op97
Rv0137c,msrA,NC_000962.3,,164712,165260,-,peptide methionine sulfoxide reductase MsrA,"Post-translational modification, protein turnover,and chaperones",P9WJM5,Op98
Rv0138,Rv0138,NC_000962.3,,165323,165826,+,hypothetical protein,Function unknown,P96815,Op99
Rv0139,Rv0139,NC_000962.3,,165827,166849,+,oxidoreductase,Carbohydrate transport and metabolism,P96816,Op99
Rv0140,Rv0140,NC_000962.3,,166910,167290,+,hypothetical protein,Function unknown,P96817,Op100
Rv0141c,Rv0141c,NC_000962.3,,167271,167681,-,hypothetical protein,Function unknown,P96818,Op101
Rv0142,Rv0142,NC_000962.3,,167711,168637,+,hypothetical protein,"Replication, recombination and repair",P96819,Op102
Rv0143c,Rv0143c,NC_000962.3,,168704,170182,-,transmembrane protein,Inorganic ion transport and metabolism,P96820,Op103
Rv0144,Rv0144,NC_000962.3,,170284,171126,+,transcriptional regulator,Transcription,P96821,Op104
Rv0145,Rv0145,NC_000962.3,,171215,172168,+,S-adenosylmethionine-dependent methyltransferase,Coenzyme transport and metabolism,P9WFJ1,Op105
Rv0146,Rv0146,NC_000962.3,,172211,173143,+,S-adenosylmethionine-dependent methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",P9WFJ3,Op106
Rv0147,Rv0147,NC_000962.3,,173238,174758,+,aldehyde dehydrogenase,Energy production and conversion,P96824,Op107
Rv0148,Rv0148,NC_000962.3,,174833,175693,+,short-chain type dehydrogenase/reductase,Lipid transport and metabolism,P96825,Op108
Rv0149,Rv0149,NC_000962.3,,175700,176668,+,quinone oxidoreductase,Energy production and conversion,P96826,Op108
Rv0150c,Rv0150c,NC_000962.3,,176665,176952,-,hypothetical protein,No COG annotation,P96827,Op109
Rv0151c,PE1,NC_000962.3,,177543,179309,-,PE family protein PE1,Cell motility,Q79G06,Op110
Rv0152c,PE2,NC_000962.3,,179319,180896,-,PE family protein PE2,Cell motility,Q79G05,Op110
Rv0153c,ptbB,NC_000962.3,,181155,181985,-,phosphotyrosine protein phosphatase,Signal transduction mechanisms,I6WXK4,Op111
Rv0154c,fadE2,NC_000962.3,,181987,183198,-,acyl-CoA dehydrogenase FadE2,Lipid transport and metabolism,P96831,Op111
Rv0155,pntAa,NC_000962.3,,183622,184722,+,NAD(P) transhydrogenase subunit alpha PntAa,Energy production and conversion,P96832,Op112
Rv0156,pntAb,NC_000962.3,,184723,185055,+,NAD(P) transhydrogenase subunit alpha PntAb,Energy production and conversion,P96833,Op112
Rv0157,pntB,NC_000962.3,,185052,186479,+,NAD(P) transhydrogenase subunit beta PntB,Energy production and conversion,P96834,Op112
Rv0157A,Rv0157A,NC_000962.3,,186495,186623,-,hypothetical protein,Function unknown,I6WXK8,Op113
Rv0158,Rv0158,NC_000962.3,,186785,187429,+,transcriptional regulator,Transcription,O53641,Op114
Rv0159c,PE3,NC_000962.3,,187433,188839,-,PE family protein PE3,Cell motility,Q79G04,Op115
Rv0160c,PE4,NC_000962.3,,188931,190439,-,PE family protein PE4,Cell motility,L7N661,Op116
Rv0161,Rv0161,NC_000962.3,,190607,191956,+,oxidoreductase,Energy production and conversion,O07406,Op117
Rv0162c,adhE1,NC_000962.3,,191984,193135,-,zinc-type alcohol dehydrogenase subunit E,Energy production and conversion,L7N6B3,Op118
Rv0163,Rv0163,NC_000962.3,,193117,193572,+,hypothetical protein,Function unknown,O07408,Op119
Rv0164,TB18.5,NC_000962.3,,193626,194111,+,hypothetical protein,Lipid transport and metabolism,L7N657,Op120
Rv0165c,mce1R,NC_000962.3,,194144,194815,-,transcriptional regulator Mce1R,Transcription,Q79G00,Op121
Rv0166,fadD5,NC_000962.3,,194993,196657,+,fatty-acid--CoA ligase FadD5,Lipid transport and metabolism,O07411,Op122
Rv0167,yrbE1A,NC_000962.3,,196861,197658,+,membrane protein,"Secondary metabolites biosynthesis, transport, and catabolism",O07412,Op123
Rv0168,yrbE1B,NC_000962.3,,197660,198529,+,membrane protein,"Secondary metabolites biosynthesis, transport, and catabolism",L0T2Q9,Op123
Rv0169,mce1A,NC_000962.3,,198534,199898,+,Mce family protein Mce1A,"Secondary metabolites biosynthesis, transport, and catabolism",Q79FZ9,Op123
Rv0170,mce1B,NC_000962.3,,199895,200935,+,Mce family protein Mce1B,"Secondary metabolites biosynthesis, transport, and catabolism",O07414,Op123
Rv0171,mce1C,NC_000962.3,,200932,202479,+,Mce family protein Mce1C,"Secondary metabolites biosynthesis, transport, and catabolism",O07415,Op123
Rv0172,mce1D,NC_000962.3,,202476,204068,+,Mce family protein Mce1D,"Secondary metabolites biosynthesis, transport, and catabolism",O07416,Op123
Rv0173,lprK,NC_000962.3,,204065,205237,+,Mce family lipoprotein LprK,"Secondary metabolites biosynthesis, transport, and catabolism",O07417,Op123
Rv0174,mce1F,NC_000962.3,,205231,206778,+,Mce family protein Mce1F,"Secondary metabolites biosynthesis, transport, and catabolism",L0T2W6,Op123
Rv0175,Rv0175,NC_000962.3,,206814,207455,+,Mce associated membrane protein,No COG annotation,O07419,Op123
Rv0176,Rv0176,NC_000962.3,,207452,208420,+,Mce associated transmembrane protein,Function unknown,O07420,Op123
Rv0177,Rv0177,NC_000962.3,,208417,208971,+,Mce associated protein,No COG annotation,O07421,Op123
Rv0178,Rv0178,NC_000962.3,,208938,209672,+,Mce associated membrane protein,No COG annotation,O07422,Op123
Rv0179c,lprO,NC_000962.3,,209703,210812,-,lipoprotein LprO,Function unknown,O07423,Op124
Rv0180c,Rv0180c,NC_000962.3,,210892,212250,-,transmembrane protein,Function unknown,O07424,Op125
Rv0181c,Rv0181c,NC_000962.3,,212277,213011,-,hypothetical protein,Function unknown,P9WI85,Op125
Rv0182c,sigG,NC_000962.3,,213028,214140,-,ECF RNA polymerase sigma factor SigG,Transcription,P9WGG5,Op125
Rv0183,Rv0183,NC_000962.3,,214088,214927,+,lysophospholipase,Lipid transport and metabolism,O07427,Op126
Rv0184,Rv0184,NC_000962.3,,214969,215718,+,hypothetical protein,Function unknown,O07428,Op127
Rv0185,Rv0185,NC_000962.3,,215715,216224,+,hypothetical protein,No COG annotation,O07429,Op127
Rv0186,bglS,NC_000962.3,,216269,218344,+,beta-glucosidase BglS,Carbohydrate transport and metabolism,O07430,Op128
Rv0186A,mymT,NC_000962.3,,218390,218551,-,metallothionein,No COG annotation,P9WK09,Op129
Rv0187,Rv0187,NC_000962.3,,218705,219367,+,O-methyltransferase,Function unknown,O07431,Op130
Rv0188,Rv0188,NC_000962.3,,219486,219917,+,transmembrane protein,Function unknown,O07432,Op131
Rv0189c,ilvD,NC_000962.3,,219996,221723,-,dihydroxy-acid dehydratase,Amino acid transport and metabolism,P9WKJ5,Op132
Rv0190,Rv0190,NC_000962.3,,221871,222161,+,hypothetical protein,Function unknown,O07434,Op133
Rv0191,Rv0191,NC_000962.3,,222289,223530,+,MFS-type transporter,Amino acid transport and metabolism,P9WJX7,Op134
Rv0192,Rv0192,NC_000962.3,,223564,224664,+,hypothetical protein,Function unknown,O07436,Op134
Rv0193c,Rv0193c,NC_000962.3,,224724,226571,-,hypothetical protein,No COG annotation,O07437,Op135
Rv0194,Rv0194,NC_000962.3,,226878,230462,+,multidrug ABC transporter ATPase/permease,Defense mechanisms,O53645,Op136
Rv0195,Rv0195,NC_000962.3,,230899,231534,+,two component transcriptional regulator,Transcription,O53646,Op137
Rv0196,Rv0196,NC_000962.3,,231647,232231,+,HTH-type transcriptional regulator,Transcription,P9WME1,Op138
Rv0197,Rv0197,NC_000962.3,,232231,234519,+,oxidoreductase,Energy production and conversion,L0T2Z1,Op138
Rv0198c,zmp1,NC_000962.3,,234516,236507,-,zinc metalloprotease,"Post-translational modification, protein turnover,and chaperones",I6X8R2,Op139
Rv0199,Rv0199,NC_000962.3,,236550,237209,+,membrane protein,No COG annotation,O53650,Op140
Rv0200,Rv0200,NC_000962.3,,237206,237895,+,transmembrane protein,No COG annotation,O53651,Op140
Rv0201c,Rv0201c,NC_000962.3,,237892,238395,-,hypothetical protein,No COG annotation,O53652,Op141
Rv0202c,mmpL11,NC_000962.3,,238392,241292,-,transmembrane transport protein MmpL11,Function unknown,P9WJT9,Op141
Rv0203,Rv0203,NC_000962.3,,241514,241924,+,hypothetical protein,Function unknown,I6X8R5,Op142
Rv0204c,Rv0204c,NC_000962.3,,241976,243214,-,transmembrane protein,Function unknown,I6Y748,Op143
Rv0205,Rv0205,NC_000962.3,,243384,244487,+,transmembrane protein,Function unknown,P9WFM5,Op144
Rv0206c,mmpL3,NC_000962.3,,244484,247318,-,transmembrane transport protein MmpL3,Function unknown,P9WJV5,Op145
Rv0207c,Rv0207c,NC_000962.3,,247384,248112,-,hypothetical protein,Function unknown,P96389,Op146
Rv0208c,Rv0208c,NC_000962.3,,248115,248906,-,tRNA (guanine-N(7)-)-methyltransferase,"Translation, ribosomal structure and biogenesis",P9WFY9,Op146
Rv0209,Rv0209,NC_000962.3,,249038,250123,+,hypothetical protein,Function unknown,P96391,Op147
Rv0210,Rv0210,NC_000962.3,,250120,251598,+,hypothetical protein,Function unknown,P96392,Op147
Rv0211,pckA,NC_000962.3,,251782,253602,+,phosphoenolpyruvate carboxykinase,Energy production and conversion,P9WIH3,Op148
Rv0212c,nadR,NC_000962.3,,253669,254640,-,transcriptional regulator NadR,Coenzyme transport and metabolism,P96394,Op149
Rv0213c,Rv0213c,NC_000962.3,,254637,255950,-,methyltransferase,Energy production and conversion,P96395,Op149
Rv0214,fadD4,NC_000962.3,,256064,257677,+,fatty-acid--CoA ligase FadD4,Lipid transport and metabolism,P96396,Op150
Rv0216,Rv0216,NC_000962.3,,258913,259926,+,hydratase,Lipid transport and metabolism,I6Y340,Op151
Rv0217c,lipW,NC_000962.3,,259923,260831,-,esterase LipW,Lipid transport and metabolism,P96399,Op152
Rv0218,Rv0218,NC_000962.3,,260924,262252,+,transmembrane protein,Function unknown,P96400,Op153
Rv0219,Rv0219,NC_000962.3,,262254,262802,+,transmembrane protein,No COG annotation,P96401,Op153
Rv0220,lipC,NC_000962.3,,262812,264023,+,esterase LipC,Lipid transport and metabolism,P96402,Op153
Rv0221,Rv0221,NC_000962.3,,264067,265476,+,diacyglycerol O-acyltransferase,Lipid transport and metabolism,P9WKB7,Op154
Rv0222,echA1,NC_000962.3,,265507,266295,+,enoyl-CoA hydratase EchA1,Lipid transport and metabolism,P96404,Op154
Rv0223c,Rv0223c,NC_000962.3,,266301,267764,-,aldehyde dehydrogenase,Energy production and conversion,I6X8S7,Op155
