locus,gene_weight,gene_name,gene_product,COG,operon,regulator,sigH,link
Rv0063,0.0752659384,Rv0063,oxidoreductase,Energy production and conversion,Op42,"Rv0023,Rv0324,Rv0767c,sigH,mtrA",True,https://mycobrowser.epfl.ch/genes/Rv0063
Rv0039c,0.0747627742,Rv0039c,transmembrane protein,No COG annotation,Op24,"Rv0767c,csoR,Rv1776c",False,https://mycobrowser.epfl.ch/genes/Rv0039c
Rv2292c,0.0724294004,Rv2292c,hypothetical protein,Nucleotide transport and metabolism,Op1439,"Rv0023,Rv0465c,Rv0767c,Rv2034,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv2292c
Rv3353c,0.07157862870000001,Rv3353c,hypothetical protein,Energy production and conversion,Op2100,"Rv0023,Rv0047c,senX3,regX3,Rv1776c,devR,sigH,mtrA",True,https://mycobrowser.epfl.ch/genes/Rv3353c
Rv1773c,0.067701606,Rv1773c,transcriptional regulator,Transcription,Op1109,"Rv1353c,Rv1719,mbcA,Rv2021c,Rv2827c",False,https://mycobrowser.epfl.ch/genes/Rv1773c
Rv2075c,0.06668227160000001,Rv2075c,hypothetical protein,No COG annotation,Op1298,"Rv0047c,Rv0081,Rv0494,Rv0653c,mprA,mprB,Rv1049,whiA,sigH",True,https://mycobrowser.epfl.ch/genes/Rv2075c
Rv3352c,0.0656608291,Rv3352c,oxidoreductase,Energy production and conversion,Op2099,"csoR,Rv1776c,Rv3830c",False,https://mycobrowser.epfl.ch/genes/Rv3352c
Rv0309,0.0643460476,Rv0309,hypothetical protein,Function unknown,Op210,"Rv0023,Rv0324,Rv3249c",False,https://mycobrowser.epfl.ch/genes/Rv0309
Rv1698,0.06371883440000001,mctB,copper transporter MctB,Function unknown,Op1062,"Rv0302,csoR,cmr,Rv1776c,sigH,Rv3736",True,https://mycobrowser.epfl.ch/genes/Rv1698
Rv3341,-0.0654186791,metA,homoserine O-acetyltransferase,Amino acid transport and metabolism,Op2089,"csoR,Rv1776c,kstR",False,https://mycobrowser.epfl.ch/genes/Rv3341
Rv3342,-0.0731945261,Rv3342,methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",Op2089,"Rv0135c,Rv0767c,Rv1776c,kstR",False,https://mycobrowser.epfl.ch/genes/Rv3342
