locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Rv0681,link
Rv3527,0.1053432125,Rv3527,hypothetical protein,No COG annotation,Op2207,"Rv0023,Rv0047c,Rv1353c,Rv1473A,mbcA,Rv2250c,kstR,whiB4",False,https://mycobrowser.epfl.ch/genes/Rv3527
Rv3568c,0.1045652294,hsaC,extradiol dioxygenase,Amino acid transport and metabolism,Op2228,"whiB5,Rv0023,Rv0081,Rv0135c,Rv0678,Rv1353c,kstR,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv3568c
Rv3567c,0.10335029280000001,hsaB,flavin-dependent monooxygenase reductase subunit HsaB,Function unknown,Op2228,"Rv0678,Rv1353c,lysG,kstR",False,https://mycobrowser.epfl.ch/genes/Rv3567c
Rv3535c,0.10058448,hsaG,acetaldehyde dehydrogenase,"Secondary metabolites biosynthesis, transport, and catabolism",Op2212,"Rv0023,Rv0047c,Rv0681,csoR,mprA,mprB,Rv1473A,Rv2011c,Rv3249c,kstR",True,https://mycobrowser.epfl.ch/genes/Rv3535c
Rv3569c,0.1002022625,hsaD,4%2C5-9%2C10-diseco-3-hydroxy-5%2C9%2C17-trioxoandrosta-1(10)%2C2-diene-4-oate hydrolase,Lipid transport and metabolism,Op2228,"Rv0023,Rv0081,Rv0678,Rv1353c,kstR,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv3569c
Rv3566A,0.0989023764,Rv3566A,hypothetical protein,No COG annotation,Op2227,Rv3249c,False,https://mycobrowser.epfl.ch/genes/Rv3566A
Rv3513c,0.0972943943,fadD18,fatty-acid--CoA ligase FadD18,Lipid transport and metabolism,Op2196,"mbcA,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv3513c
Rv3534c,0.09535613820000001,hsaF,4-hydroxy-2-oxovalerate aldolase,Amino acid transport and metabolism,Op2212,"Rv0023,Rv0681,Rv0767c,whiA,Rv1473A,Rv1816,mbcA,Rv2720 ,Rv3249c,kstR",True,https://mycobrowser.epfl.ch/genes/Rv3534c
Rv3541c,0.0939749423,Rv3541c,hypothetical protein,Lipid transport and metabolism,Op2215,"Rv0023,Rv0081,Rv0324,Rv0681,Rv1353c,kstR,Acid Shock",True,https://mycobrowser.epfl.ch/genes/Rv3541c
Rv3536c,0.09155286160000001,hsaE,hydratase,"Secondary metabolites biosynthesis, transport, and catabolism",Op2212,"Rv0023,Rv0047c,Rv0681,Rv0767c,whiA,Rv1473A,Rv2011c",True,https://mycobrowser.epfl.ch/genes/Rv3536c
Rv3543c,0.0894999195,fadE29,acyl-CoA dehydrogenase FadE29,Lipid transport and metabolism,Op2215,"Rv0081,Rv0678,Rv0681,Rv1816,devR,Rv3249c,kstR",True,https://mycobrowser.epfl.ch/genes/Rv3543c
Rv3574,0.0892196014,kstR,HTH-type transcriptional regulator KstR,Transcription,Op2231,"Rv0047c,trcR,prpR",False,https://mycobrowser.epfl.ch/genes/Rv3574
Rv1894c,0.088859564,Rv1894c,hypothetical protein,Function unknown,Op1188,"Rv0023,mprA,mprB,Rv1353c,Rv2011c,Rv3167c,Rv3249c,Rv3736",False,https://mycobrowser.epfl.ch/genes/Rv1894c
Rv3533c,0.0838453775,PPE62,PPE family protein PPE62,Cell motility,Op2211,"Rv0023,Rv0653c,Rv0681,Rv0767c,csoR,whiA,Rv1473A,Rv1816,Rv2011c,Rv3249c,kstR,lsr2,espR",True,https://mycobrowser.epfl.ch/genes/Rv3533c
Rv3542c,0.0831699722,Rv3542c,hypothetical protein,Function unknown,Op2215,"Rv0023,Rv0081,Rv0681,Rv1353c,kstR",True,https://mycobrowser.epfl.ch/genes/Rv3542c
Rv3566c,0.0817873479,nat,arylamine N-acetyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",Op2227,"Rv0081,Rv0678,trcR,Rv1353c,lysG,kstR,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv3566c
Rv3516,0.0813480714,echA19,enoyl-CoA hydratase EchA19,Lipid transport and metabolism,Op2199,"Rv0681,Rv1473A,Rv3249c",True,https://mycobrowser.epfl.ch/genes/Rv3516
