locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Rv1828,sigH,link
Rv1220c,0.0836547094,Rv1220c,methyltransferase,Function unknown,Op799,"Rv0023,Rv0081,trcR,sigH,lsr2",False,True,https://mycobrowser.epfl.ch/genes/Rv1220c
Rv2592c,0.0830057193,ruvB,Holliday junction ATP-dependent DNA helicase RuvB,"Replication, recombination and repair",Op1636,"Rv0081,csoR,whiA,Rv1816,Rv2011c,Rv2021c,Rv2250c,sigH",False,True,https://mycobrowser.epfl.ch/genes/Rv2592c
Rv3258c,0.0830029724,Rv3258c,hypothetical protein,Function unknown,Op2043,"Rv0324,csoR,Rv1776c,Rv1816,sigH",False,True,https://mycobrowser.epfl.ch/genes/Rv3258c
Rv2593c,0.08278050840000001,ruvA,Holliday junction ATP-dependent DNA helicase RuvA,"Replication, recombination and repair",Op1636,"Rv0081,Rv0324,csoR,whiA,Rv2011c,Rv2021c,sigH",False,True,https://mycobrowser.epfl.ch/genes/Rv2593c
Rv3267,0.08208859140000001,Rv3267,hypothetical protein,Transcription,Op2049,"whiB5,Rv0767c,Rv1473A,Rv2324,Rv2887,sigH",False,True,https://mycobrowser.epfl.ch/genes/Rv3267
Rv2149c,0.0787957725,yfiH,laccase domain-containing protein,Function unknown,Op1348,"Rv0081,Rv1828,sigH,whiB2",True,True,https://mycobrowser.epfl.ch/genes/Rv2149c
Rv2166c,0.0783268929,Rv2166c,transcriptional regulator MraZ,Transcription,Op1352,sigH,False,True,https://mycobrowser.epfl.ch/genes/Rv2166c
Rv1158c,0.0775605712,Rv1158c,hypothetical protein,No COG annotation,Op757,"csoR,sigH",False,True,https://mycobrowser.epfl.ch/genes/Rv1158c
Rv3711c,0.0774326335,dnaQ,DNA polymerase III subunit epsilon,"Replication, recombination and repair",Op2319,"Rv0023,senX3,regX3,csoR,sigH,Rv3488",False,True,https://mycobrowser.epfl.ch/genes/Rv3711c
Rv1157c,0.076224363,Rv1157c,hypothetical protein,No COG annotation,Op756,"Rv0023,Rv0081,Rv0302,Rv0494,Rv0767c,csoR,trcR,Rv1353c,whiA,Rv2011c,Rv2250c,Rv3066,sigH,mtrA,Rv3249c,Rv3830c",False,True,https://mycobrowser.epfl.ch/genes/Rv1157c
Rv2894c,0.0752445038,xerC,tyrosine recombinase XerC,"Cell cycle control, cell division, chromosome partitioning",Op1818,"Rv1776c,sigH,Rv3249c",False,True,https://mycobrowser.epfl.ch/genes/Rv2894c
Rv0344c,0.0743120993,lpqJ,lipoprotein LpqJ,No COG annotation,Op236,"Rv0275c,Rv0324,Rv0653c,whiA,Rv2250c,sigH,kstR",False,True,https://mycobrowser.epfl.ch/genes/Rv0344c
Rv3246c,0.07384330900000001,mtrA,two component DNA-binding response regulator MtrA,Transcription,Op2036,"Rv0135c,whiA,Rv1816",False,False,https://mycobrowser.epfl.ch/genes/Rv3246c
Rv2165c,0.07333736610000001,Rv2165c,rRNA small subunit methyltransferase H,"Translation, ribosomal structure and biogenesis",Op1352,"mbcA,sigH",False,True,https://mycobrowser.epfl.ch/genes/Rv2165c
Rv2594c,0.0733373398,ruvC,crossover junction endodeoxyribonuclease RuvC,"Replication, recombination and repair",Op1636,"Rv0324,senX3,regX3,Rv1219c,vapB15,sigH",False,True,https://mycobrowser.epfl.ch/genes/Rv2594c
Rv0111,0.0723257474,Rv0111,acyltransferase,Amino acid transport and metabolism,Op75,"Rv0081,Rv0135c,phoP,csoR,sigI,Rv1353c,Rv1776c,Rv1816,lysG,Rv2250c,sigH,Rv3249c",False,True,https://mycobrowser.epfl.ch/genes/Rv0111
Rv3310,0.07197200890000001,sapM,acid phosphatase,Cell wall/membrane/envelope biogenesis,Op2072,"Rv0023,Rv0081,senX3,regX3,Rv2011c,Rv2324,sigH,lsr2",False,True,https://mycobrowser.epfl.ch/genes/Rv3310
Rv2737c,0.0713961446,recA,recombinase A,"Replication, recombination and repair",Op1729,"Rv0023,Rv0302,Rv1049,Rv1353c,whiA,mbcA,cmtR,Rv2021c,Rv2250c,sigH,whiB4",False,True,https://mycobrowser.epfl.ch/genes/Rv2737c
Rv3717,0.0713563346,Rv3717,hypothetical protein,Cell wall/membrane/envelope biogenesis,Op2323,"Rv1776c,sigH",False,True,https://mycobrowser.epfl.ch/genes/Rv3717
Rv2164c,0.0711421906,Rv2164c,hypothetical protein,"Cell cycle control, cell division, chromosome partitioning",Op1352,"csoR,Rv1816,sigH",False,True,https://mycobrowser.epfl.ch/genes/Rv2164c
Rv1435c,0.0696751098,Rv1435c,hypothetical protein,No COG annotation,Op922,"Rv0135c,Rv0691c,Rv1816,Rv2034,Rv3167c,sigH",False,True,https://mycobrowser.epfl.ch/genes/Rv1435c
Rv1251c,0.0694395,Rv1251c,hypothetical protein,"Replication, recombination and repair",Op821,"Rv0302,csoR,marR,Rv1776c,Rv2011c,Rv2989,sigH,Rv3736,ethR",False,True,https://mycobrowser.epfl.ch/genes/Rv1251c
Rv0997,0.0692405157,Rv0997,hypothetical protein,No COG annotation,Op649,"Rv0023,Rv0081,Rv0678,Rv0767c,Rv1353c,Rv1816,mbcA,Rv2011c,sigH,Rv3736",False,True,https://mycobrowser.epfl.ch/genes/Rv0997
Rv3811,0.06583104270000001,Rv3811,hypothetical protein,Cell wall/membrane/envelope biogenesis,Op2385,"Rv0023,Rv0135c,trcR,Rv1353c,marR,Rv1816,Rv2011c,sigH,Rv3736",False,True,https://mycobrowser.epfl.ch/genes/Rv3811
Rv2163c,0.06496639850000001,pbpB,penicillin-binding membrane protein PbpB,Cell wall/membrane/envelope biogenesis,Op1352,"Rv0081,Rv0135c,Rv0465c,csoR,Rv1049,Rv1776c,sigH,Rv3249c,kstR",False,True,https://mycobrowser.epfl.ch/genes/Rv2163c
Rv2351c,0.06471927200000001,plcA,membrane-associated phospholipase A,Cell wall/membrane/envelope biogenesis,Op1485,"csoR,sigI,whiA,Rv1719,sigH,lsr2",False,True,https://mycobrowser.epfl.ch/genes/Rv2351c
Rv2680,0.06255744790000001,Rv2680,hypothetical protein,Function unknown,Op1688,"whiA,Rv1776c,sigH",False,True,https://mycobrowser.epfl.ch/genes/Rv2680
Rv0997a,0.0619329473,Rv0997a,hypothetical protein,No COG annotation,Op648,,False,False,https://mycobrowser.epfl.ch/genes/Rv0997a
Rv2349c,0.0613956178,plcC,phospholipase C,Cell wall/membrane/envelope biogenesis,Op1485,"Rv0023,Rv0047c,Rv0081,Rv0273c,Rv0324,Rv0678,csoR,Rv1353c,whiA,Rv1719,Rv1776c,mbcA,Rv2250c,sigH",False,True,https://mycobrowser.epfl.ch/genes/Rv2349c
Rv3245c,0.0609465464,mtrB,two component sensory histidine kinase MtrB,Signal transduction mechanisms,Op2035,"Rv0081,Rv0135c,Rv0324,Rv0348,Rv1049,Rv1776c,Rv1816,mbcA",False,False,https://mycobrowser.epfl.ch/genes/Rv3245c
Rv3122,0.0608539472,Rv3122,hypothetical protein,No COG annotation,Op1954,"trcR,Rv1353c",False,False,https://mycobrowser.epfl.ch/genes/Rv3122
Rv2148c,0.060412595400000005,Rv2148c,hypothetical protein,Function unknown,Op1348,"Rv0324,Rv0678,Rv1816,Rv1828,lysG,Rv2011c,Rv2989,devR,tcrX,espR",True,False,https://mycobrowser.epfl.ch/genes/Rv2148c
Rv0660c,0.0602923584,mazE2,antitoxin MazE2,No COG annotation,Op433,devR,False,False,https://mycobrowser.epfl.ch/genes/Rv0660c
Rv2905,0.0595486057,lppW,lipoprotein LppW,Defense mechanisms,Op1824,"Rv0047c,Rv1776c,Rv2887,Rv3249c,kstR,lsr2,Rv3736",False,False,https://mycobrowser.epfl.ch/genes/Rv2905
Rv2267c,0.0587598573,Rv2267c,hypothetical protein,Function unknown,Op1425,"Rv0023,Rv0081,tcrA,Rv0678,Rv1776c,Rv1816",False,False,https://mycobrowser.epfl.ch/genes/Rv2267c
Rv0659c,0.0574488627,mazF2,toxin MazF2,Signal transduction mechanisms,Op433,"Rv0691c,devR",False,False,https://mycobrowser.epfl.ch/genes/Rv0659c
Rv2154c,0.0571254673,ftsW,lipid II flippase FtsW,"Cell cycle control, cell division, chromosome partitioning",Op1349,"whiB5,Rv0324,Rv1167c,Rv1473A,Rv2011c,Rv3249c",False,False,https://mycobrowser.epfl.ch/genes/Rv2154c
Rv3387,0.0563684329,Rv3387,transposase,"Replication, recombination and repair",Op2120,"Rv0047c,csoR,Rv1353c,devR",False,False,https://mycobrowser.epfl.ch/genes/Rv3387
Rv2049c,0.0562576237,Rv2049c,hypothetical protein,No COG annotation,Op1282,sigH,False,True,https://mycobrowser.epfl.ch/genes/Rv2049c
Rv2256a,0.055481514700000005,Rv2256a,hypothetical protein,No COG annotation,Op1417,,False,False,https://mycobrowser.epfl.ch/genes/Rv2256a
Rv1632c,0.0551651175,Rv1632c,hypothetical protein,Function unknown,Op1029,"Rv0023,Rv1353c,Rv2250c,sigH,Rv3249c",False,True,https://mycobrowser.epfl.ch/genes/Rv1632c
Rv1699,0.0546540963,pyrG,CTP synthase,Nucleotide transport and metabolism,Op1063,"Rv0047c,Rv0135c,Rv0302,Rv1353c,Rv3488,kstR",False,False,https://mycobrowser.epfl.ch/genes/Rv1699
Rv0888,-0.058445595100000004,Rv0888,hypothetical protein,Function unknown,Op576,"Rv0023,Rv0047c,Rv0081,Rv0324,Rv0328,phoP,Rv0767c,Rv2250c,Rv2887,sigH,mtrA,lsr2",False,True,https://mycobrowser.epfl.ch/genes/Rv0888
