locus_id,go_id,go_name
Rv0069c,GO:0005886,plasma membrane
Rv0070c,GO:0005886,plasma membrane
Rv0072,GO:0016021,integral component of membrane
Rv0073,GO:0005886,plasma membrane
Rv0079,GO:0022627,cytosolic small ribosomal subunit
Rv0080,GO:0048037,cofactor binding
Rv0081,GO:0005886,plasma membrane
Rv0083,GO:0016021,integral component of membrane
Rv0085,GO:0016021,integral component of membrane
Rv0088,GO:0005886,plasma membrane
Rv0089,GO:0005618,cell wall
Rv0090,GO:0016021,integral component of membrane
Rv0091,GO:0005829,cytosol
Rv0092,GO:0016021,integral component of membrane
Rv0093c,GO:0016021,integral component of membrane
Rv0096,GO:0016021,integral component of membrane
Rv0097,GO:0055114,oxidation-reduction process
Rv0098,GO:0005886,plasma membrane
Rv0099,GO:0005886,plasma membrane
Rv0100,GO:0009236,cobalamin biosynthetic process
Rv0102,GO:0016021,integral component of membrane
Rv0103c,GO:0016021,integral component of membrane
Rv0104,GO:0016021,integral component of membrane
Rv0105c,GO:0022625,cytosolic large ribosomal subunit
Rv0106,GO:0055114,oxidation-reduction process
Rv0107c,GO:0043231,intracellular membrane-bounded organelle
Rv0108c,GO:0005618,cell wall
Rv0109,GO:0016021,integral component of membrane
Rv0110,GO:0016021,integral component of membrane
Rv0111,GO:0016021,integral component of membrane
Rv0113,GO:0005737,cytoplasm
Rv0114,GO:0005737,cytoplasm
Rv0115,GO:0042352,GDP-L-fucose salvage
Rv0119,GO:0016874,ligase activity
Rv0120c,GO:0005886,plasma membrane
Rv0124,GO:0005886,plasma membrane
Rv0126,GO:0022625,cytosolic large ribosomal subunit
Rv0127,GO:0005886,plasma membrane
Rv0129c,GO:0005618,cell wall
Rv0130,GO:0006633,fatty acid biosynthetic process
Rv0131c,GO:0005829,cytosol
Rv0136,GO:0055114,oxidation-reduction process
Rv0137c,GO:0005829,cytosol
Rv0142,GO:0032993,protein-DNA complex
Rv0143c,GO:0016021,integral component of membrane
Rv0144,GO:0005886,plasma membrane
Rv0145,GO:0032259,methylation
Rv0146,GO:0005886,plasma membrane
Rv0147,GO:0005886,plasma membrane
Rv0148,GO:0005886,plasma membrane
Rv0151c,GO:0016021,integral component of membrane
Rv0154c,GO:0005886,plasma membrane
Rv0157,GO:0016021,integral component of membrane
Rv0157A,GO:0005886,plasma membrane
Rv0162c,GO:0055114,oxidation-reduction process
Rv0164,GO:0032259,methylation
Rv0165c,GO:0075182,negative regulation of symbiont transcription in response to host
Rv0173,GO:0005618,cell wall
Rv0175,GO:0016021,integral component of membrane
Rv0181c,GO:0005886,plasma membrane
Rv0182c,GO:2000142,"regulation of DNA-templated transcription, initiation"
Rv0186A,GO:0055070,copper ion homeostasis
Rv0187,GO:0005886,plasma membrane
Rv0189c,GO:0005886,plasma membrane
Rv0191,GO:0016021,integral component of membrane
Rv0192A,GO:0098869,cellular oxidant detoxification
Rv0196,GO:0003677,DNA binding
Rv0197,GO:0055114,oxidation-reduction process
Rv0202c,GO:0016021,integral component of membrane
Rv0205,GO:0016021,integral component of membrane
Rv0206c,GO:0016021,integral component of membrane
Rv0208c,GO:0043527,tRNA methyltransferase complex
Rv0211,GO:0005886,plasma membrane
Rv0214,GO:0016874,ligase activity
Rv0215c,GO:0005886,plasma membrane
Rv0220,GO:0042603,capsule
Rv0221,GO:0005886,plasma membrane
Rv0224c,GO:0032259,methylation
Rv0227c,GO:0016021,integral component of membrane
Rv0228,GO:0016021,integral component of membrane
Rv0230c,GO:0009056,catabolic process
Rv0233,GO:0005829,cytosol
Rv0234c,GO:0005886,plasma membrane
Rv0236A,GO:0016021,integral component of membrane
Rv0236c,GO:0016021,integral component of membrane
Rv0239,GO:0046907,intracellular transport
Rv0240,GO:0005886,plasma membrane
Rv0250c,GO:0005886,plasma membrane
Rv0252,GO:0005886,plasma membrane
Rv0255c,GO:0015889,cobalamin transport
Rv0256c,GO:0005886,plasma membrane
Rv0262c,GO:0005886,plasma membrane
Rv0264c,GO:0052562,suppression by symbiont of host immune response
Rv0273c,GO:0003677,DNA binding
Rv0275c,GO:0003677,DNA binding
Rv0277A,GO:0006355,"regulation of transcription, DNA-templated"
Rv0277c,GO:0090501,RNA phosphodiester bond hydrolysis
Rv0278c,GO:0006313,"transposition, DNA-mediated"
Rv0279c,GO:0016021,integral component of membrane
Rv0280,GO:0016020,membrane
Rv0281,GO:0005886,plasma membrane
Rv0282,GO:0005886,plasma membrane
Rv0283,GO:0016021,integral component of membrane
Rv0284,GO:0016021,integral component of membrane
Rv0286,GO:0016021,integral component of membrane
Rv0288,GO:0097013,phagocytic vesicle lumen
Rv0289,GO:0005737,cytoplasm
Rv0290,GO:0016021,integral component of membrane
Rv0292,GO:0016021,integral component of membrane
Rv0294,GO:0005737,cytoplasm
Rv0297,GO:0044165,host cell endoplasmic reticulum
Rv0298,GO:0045927,positive regulation of growth
Rv0299,GO:0045926,negative regulation of growth
Rv0300,GO:0060701,negative regulation of ribonuclease activity
Rv0301,GO:0090501,RNA phosphodiester bond hydrolysis
Rv0304c,GO:0005886,plasma membrane
Rv0313,GO:0055114,oxidation-reduction process
Rv0314c,GO:0016021,integral component of membrane
Rv0317c,GO:0006629,lipid metabolic process
Rv0318c,GO:0016021,integral component of membrane
Rv0319,GO:0005829,cytosol
Rv0321,GO:0015949,nucleobase-containing small molecule interconversion
Rv0323c,GO:0016021,integral component of membrane
Rv0327c,GO:0005618,cell wall
Rv0332,GO:0005886,plasma membrane
Rv0334,GO:0005886,plasma membrane
Rv0335c,GO:0022625,cytosolic large ribosomal subunit
Rv0337c,GO:0005886,plasma membrane
Rv0341,GO:0090502,"RNA phosphodiester bond hydrolysis, endonucleolytic"
Rv0342,GO:0016021,integral component of membrane
Rv0343,GO:0005886,plasma membrane
Rv0345,GO:0005886,plasma membrane
Rv0346c,GO:0016021,integral component of membrane
Rv0350,GO:0097691,bacterial extracellular vesicle
Rv0351,GO:0005737,cytoplasm
Rv0352,GO:0005886,plasma membrane
Rv0354c,GO:0016021,integral component of membrane
Rv0355c,GO:0009360,DNA polymerase III complex
Rv0357c,GO:0005737,cytoplasm
Rv0359,GO:0016021,integral component of membrane
Rv0360c,GO:0005886,plasma membrane
Rv0363c,GO:0005886,plasma membrane
Rv0364,GO:0016021,integral component of membrane
Rv0369c,GO:0016021,integral component of membrane
Rv0375c,GO:0055114,oxidation-reduction process
Rv0377,GO:0006355,"regulation of transcription, DNA-templated"
Rv0378,GO:0055114,oxidation-reduction process
Rv0380c,GO:0032259,methylation
Rv0382c,GO:0044205,'de novo' UMP biosynthetic process
Rv0384c,GO:0005886,plasma membrane
Rv0387c,GO:0097041,phenolic phthiocerol biosynthetic process
Rv0388c,GO:0008156,negative regulation of DNA replication
Rv0391,GO:0005737,cytoplasm
Rv0392c,GO:0016021,integral component of membrane
Rv0402c,GO:0016021,integral component of membrane
Rv0403c,GO:0016021,integral component of membrane
Rv0404,GO:0071766,Actinobacterium-type cell wall biogenesis
Rv0406c,GO:0046677,response to antibiotic
Rv0407,GO:0005886,plasma membrane
Rv0408,GO:0005737,cytoplasm
Rv0409,GO:0005737,cytoplasm
Rv0410c,GO:0016020,membrane
Rv0413,GO:0006974,cellular response to DNA damage stimulus
Rv0414c,GO:0005737,cytoplasm
Rv0417,GO:0005737,cytoplasm
Rv0419,GO:0016021,integral component of membrane
Rv0422c,GO:0005829,cytosol
Rv0423c,GO:0005886,plasma membrane
Rv0424c,GO:0005886,plasma membrane
Rv0427c,GO:0090305,nucleic acid phosphodiester bond hydrolysis
Rv0429c,GO:0043686,co-translational protein modification
Rv0431,GO:0016021,integral component of membrane
Rv0432,GO:0016020,membrane
Rv0433,GO:0042398,cellular modified amino acid biosynthetic process
Rv0436c,GO:0016021,integral component of membrane
Rv0437c,GO:0016020,membrane
Rv0438c,GO:0005829,cytosol
Rv0440,GO:1990220,GroEL-GroES complex
Rv0441c,GO:0016021,integral component of membrane
Rv0442c,GO:0042783,evasion of host immune response
Rv0444c,GO:0016021,integral component of membrane
Rv0445c,GO:0005886,plasma membrane
Rv0446c,GO:0016021,integral component of membrane
Rv0448c,GO:0031419,cobalamin binding
Rv0450c,GO:0016021,integral component of membrane
Rv0451c,GO:0016021,integral component of membrane
Rv0453,GO:0005829,cytosol
Rv0454,GO:0005829,cytosol
Rv0456A,GO:0090502,"RNA phosphodiester bond hydrolysis, endonucleolytic"
Rv0456B,GO:0009295,nucleoid
Rv0458,GO:0005886,plasma membrane
Rv0460,GO:0016021,integral component of membrane
Rv0461,GO:0016021,integral component of membrane
Rv0462,GO:0045254,pyruvate dehydrogenase complex
Rv0465c,GO:0005886,plasma membrane
Rv0467,GO:0005886,plasma membrane
Rv0468,GO:0005886,plasma membrane
Rv0470c,GO:0005737,cytoplasm
Rv0472c,GO:0005576,extracellular region
Rv0474,GO:0005829,cytosol
Rv0475,GO:0009986,cell surface
Rv0476,GO:0016021,integral component of membrane
Rv0477,GO:0005576,extracellular region
Rv0478,GO:0005737,cytoplasm
Rv0479c,GO:0016021,integral component of membrane
Rv0480c,GO:0005618,cell wall
Rv0481c,GO:0005886,plasma membrane
Rv0482,GO:0005737,cytoplasm
Rv0483,GO:0005576,extracellular region
Rv0484c,GO:0005886,plasma membrane
Rv0485,GO:0010468,regulation of gene expression
Rv0486,GO:0005829,cytosol
Rv0487,GO:0050270,S-adenosylhomocysteine deaminase activity
Rv0488,GO:0016021,integral component of membrane
Rv0489,GO:0032991,protein-containing complex
Rv0490,GO:0016021,integral component of membrane
Rv0491,GO:0032993,protein-DNA complex
Rv0492c,GO:0005829,cytosol
Rv0493c,GO:0005886,plasma membrane
Rv0494,GO:0006355,"regulation of transcription, DNA-templated"
Rv0495c,GO:0016021,integral component of membrane
Rv0496,GO:0006793,phosphorus metabolic process
Rv0497,GO:0016021,integral component of membrane
Rv0498,GO:0055114,oxidation-reduction process
Rv0499,GO:0016310,phosphorylation
Rv0500,GO:0005886,plasma membrane
Rv0500A,GO:0003677,DNA binding
Rv0500B,GO:0005886,plasma membrane
Rv0501,GO:0005886,plasma membrane
Rv0502,GO:0005886,plasma membrane
Rv0503c,GO:0005886,plasma membrane
Rv0504c,GO:0005886,plasma membrane
Rv0505c,GO:0016021,integral component of membrane
Rv0506,GO:0016021,integral component of membrane
Rv0507,GO:0016021,integral component of membrane
Rv0508,GO:0005886,plasma membrane
Rv0509,GO:0055114,oxidation-reduction process
Rv0510,GO:0005886,plasma membrane
Rv0512,GO:0005829,cytosol
Rv0516c,GO:0005515,protein binding
Rv0517,GO:0016021,integral component of membrane
Rv0524,GO:0005886,plasma membrane
Rv0525,GO:0005886,plasma membrane
Rv0526,GO:0005886,plasma membrane
Rv0528,GO:0016021,integral component of membrane
Rv0530,GO:0009898,cytoplasmic side of plasma membrane
Rv0530A,GO:0005886,plasma membrane
Rv0532,GO:0005829,cytosol
Rv0533c,GO:0005737,cytoplasm
Rv0534c,GO:0016021,integral component of membrane
Rv0535,GO:0005829,cytosol
Rv0538,GO:0016021,integral component of membrane
Rv0539,GO:0016757,"transferase activity, transferring glycosyl groups"
Rv0542c,GO:0009234,menaquinone biosynthetic process
Rv0545c,GO:0016021,integral component of membrane
Rv0548c,GO:0005886,plasma membrane
Rv0549c,GO:0090501,RNA phosphodiester bond hydrolysis
Rv0550c,GO:0075136,response to host
Rv0551c,GO:0005886,plasma membrane
Rv0553,GO:0009234,menaquinone biosynthetic process
Rv0554,GO:0098869,cellular oxidant detoxification
Rv0555,GO:0005886,plasma membrane
Rv0557,GO:0097502,mannosylation
Rv0558,GO:0005886,plasma membrane
Rv0559c,GO:0005618,cell wall
Rv0560c,GO:0005829,cytosol
Rv0561c,GO:0005618,cell wall
Rv0563,GO:0016021,integral component of membrane
Rv0564c,GO:0009331,glycerol-3-phosphate dehydrogenase complex
Rv0566c,GO:0005886,plasma membrane
Rv0567,GO:0032259,methylation
Rv0568,GO:0005829,cytosol
Rv0569,GO:0005829,cytosol
Rv0570,GO:0005886,plasma membrane
Rv0571c,GO:0005829,cytosol
Rv0572A,GO:0005737,cytoplasm
Rv0572c,GO:0005829,cytosol
Rv0573c,GO:0005886,plasma membrane
Rv0574c,GO:0005886,plasma membrane
Rv0576,GO:0006355,"regulation of transcription, DNA-templated"
Rv0577,GO:0005886,plasma membrane
Rv0578c,GO:0016310,phosphorylation
Rv0581,GO:0045927,positive regulation of growth
Rv0582,GO:0090501,RNA phosphodiester bond hydrolysis
Rv0584,GO:0005829,cytosol
Rv0586,GO:0052572,response to host immune response
Rv0589,GO:0016021,integral component of membrane
Rv0590,GO:0016021,integral component of membrane
Rv0590A,GO:0005618,cell wall
Rv0595c,GO:0005576,extracellular region
Rv0596c,GO:0045927,positive regulation of growth
Rv0598c,GO:0005576,extracellular region
Rv0599c,GO:0005515,protein binding
Rv0600c,GO:0070298,negative regulation of phosphorelay signal transduction system
Rv0601c,GO:0016021,integral component of membrane
Rv0602c,GO:0032993,protein-DNA complex
Rv0605,GO:0006310,DNA recombination
Rv0607,GO:0006637,acyl-CoA metabolic process
Rv0608,GO:0045927,positive regulation of growth
Rv0609,GO:0090501,RNA phosphodiester bond hydrolysis
Rv0609B,GO:0032324,molybdopterin cofactor biosynthetic process
Rv0611c,GO:0016021,integral component of membrane
Rv0612,GO:0016021,integral component of membrane
Rv0614,GO:0005618,cell wall
Rv0616A,GO:0006355,"regulation of transcription, DNA-templated"
Rv0617,GO:0090501,RNA phosphodiester bond hydrolysis
Rv0618,GO:0005737,cytoplasm
Rv0619,GO:0005737,cytoplasm
Rv0620,GO:0005829,cytosol
Rv0623,GO:0045927,positive regulation of growth
Rv0624,GO:0090501,RNA phosphodiester bond hydrolysis
Rv0625c,GO:0016021,integral component of membrane
Rv0626,GO:0045927,positive regulation of growth
Rv0627,GO:0005576,extracellular region
Rv0628c,GO:0016021,integral component of membrane
Rv0629c,GO:0009338,exodeoxyribonuclease V complex
Rv0630c,GO:0009338,exodeoxyribonuclease V complex
Rv0631c,GO:0009338,exodeoxyribonuclease V complex
Rv0634A,GO:0097013,phagocytic vesicle lumen
Rv0634B,GO:0005840,ribosome
Rv0635,GO:0005886,plasma membrane
Rv0637,GO:0005886,plasma membrane
Rv0638,GO:0016021,integral component of membrane
Rv0639,GO:0005886,plasma membrane
Rv0640,GO:0022625,cytosolic large ribosomal subunit
Rv0641,GO:0022625,cytosolic large ribosomal subunit
Rv0642c,GO:0005886,plasma membrane
Rv0643c,GO:0005886,plasma membrane
Rv0644c,GO:0005886,plasma membrane
Rv0645c,GO:0071768,mycolic acid biosynthetic process
Rv0647c,GO:0005886,plasma membrane
Rv0649,GO:0042759,long-chain fatty acid biosynthetic process
Rv0651,GO:0022625,cytosolic large ribosomal subunit
Rv0652,GO:0022625,cytosolic large ribosomal subunit
Rv0654,GO:0055114,oxidation-reduction process
Rv0655,GO:0005886,plasma membrane
Rv0656c,GO:0090501,RNA phosphodiester bond hydrolysis
Rv0657c,GO:0005829,cytosol
Rv0659c,GO:0090502,"RNA phosphodiester bond hydrolysis, endonucleolytic"
Rv0660c,GO:0006355,"regulation of transcription, DNA-templated"
Rv0661c,GO:0090501,RNA phosphodiester bond hydrolysis
Rv0662c,GO:0005886,plasma membrane
Rv0664,GO:0045254,pyruvate dehydrogenase complex
Rv0665,GO:0090305,nucleic acid phosphodiester bond hydrolysis
Rv0667,GO:0005886,plasma membrane
Rv0668,GO:0005886,plasma membrane
Rv0669c,GO:0005618,cell wall
Rv0670,GO:0090305,nucleic acid phosphodiester bond hydrolysis
Rv0676c,GO:0016021,integral component of membrane
Rv0677c,GO:0016021,integral component of membrane
Rv0679c,GO:0016021,integral component of membrane
Rv0681,GO:0005886,plasma membrane
Rv0682,GO:0015935,small ribosomal subunit
Rv0683,GO:0022627,cytosolic small ribosomal subunit
Rv0684,GO:0005886,plasma membrane
Rv0685,GO:0005886,plasma membrane
Rv0687,GO:0055114,oxidation-reduction process
Rv0691A,GO:0005886,plasma membrane
Rv0691c,GO:0006355,"regulation of transcription, DNA-templated"
Rv0692,GO:0016021,integral component of membrane
Rv0693,GO:0005886,plasma membrane
Rv0694,GO:0005886,plasma membrane
Rv0695,GO:0009231,riboflavin biosynthetic process
Rv0696,GO:0016021,integral component of membrane
Rv0700,GO:0015935,small ribosomal subunit
Rv0701,GO:0022625,cytosolic large ribosomal subunit
Rv0702,GO:0005886,plasma membrane
Rv0703,GO:0022625,cytosolic large ribosomal subunit
Rv0704,GO:0022625,cytosolic large ribosomal subunit
Rv0705,GO:0022627,cytosolic small ribosomal subunit
Rv0706,GO:0022625,cytosolic large ribosomal subunit
Rv0707,GO:0022627,cytosolic small ribosomal subunit
Rv0708,GO:0022625,cytosolic large ribosomal subunit
Rv0709,GO:0022625,cytosolic large ribosomal subunit
Rv0710,GO:0022627,cytosolic small ribosomal subunit
Rv0714,GO:0022625,cytosolic large ribosomal subunit
Rv0715,GO:0022625,cytosolic large ribosomal subunit
Rv0716,GO:0022625,cytosolic large ribosomal subunit
Rv0717,GO:0015935,small ribosomal subunit
Rv0718,GO:0022627,cytosolic small ribosomal subunit
Rv0719,GO:0022625,cytosolic large ribosomal subunit
Rv0720,GO:0022625,cytosolic large ribosomal subunit
Rv0721,GO:0022627,cytosolic small ribosomal subunit
Rv0722,GO:0022625,cytosolic large ribosomal subunit
Rv0723,GO:0022625,cytosolic large ribosomal subunit
Rv0724,GO:0016021,integral component of membrane
Rv0724A,GO:0019008,molybdopterin synthase complex
Rv0726c,GO:0032259,methylation
Rv0730,GO:0016740,transferase activity
Rv0731c,GO:0032259,methylation
Rv0732,GO:0031522,cell envelope Sec protein transport complex
Rv0733,GO:0005886,plasma membrane
Rv0734,GO:0005886,plasma membrane
Rv0735,GO:2000142,"regulation of DNA-templated transcription, initiation"
Rv0736,GO:0016021,integral component of membrane
Rv0738,GO:0046872,metal ion binding
Rv0739,GO:0005886,plasma membrane
Rv0746,GO:0016021,integral component of membrane
Rv0747,GO:0016021,integral component of membrane
Rv0748,GO:0045927,positive regulation of growth
Rv0749,GO:0090501,RNA phosphodiester bond hydrolysis
Rv0751c,GO:0055114,oxidation-reduction process
Rv0754,GO:0009986,cell surface
Rv0755c,GO:0016021,integral component of membrane
Rv0757,GO:0032993,protein-DNA complex
Rv0759c,GO:0003824,catalytic activity
Rv0761c,GO:0005886,plasma membrane
Rv0764c,GO:0005829,cytosol
Rv0766c,GO:0005886,plasma membrane
Rv0767c,GO:0003677,DNA binding
Rv0769,GO:0005886,plasma membrane
Rv0770,GO:0055114,oxidation-reduction process
Rv0771,GO:0098869,cellular oxidant detoxification
Rv0772,GO:0009113,purine nucleobase biosynthetic process
Rv0773c,GO:0006751,glutathione catabolic process
Rv0775,GO:0005886,plasma membrane
Rv0778,GO:0055114,oxidation-reduction process
Rv0780,GO:0006189,'de novo' IMP biosynthetic process
Rv0782,GO:0006508,proteolysis
Rv0783c,GO:0016021,integral component of membrane
Rv0784,GO:0005975,carbohydrate metabolic process
Rv0785,GO:0005886,plasma membrane
Rv0786c,GO:0005576,extracellular region
Rv0787,GO:0005576,extracellular region
Rv0788,GO:0005886,plasma membrane
Rv0789c,GO:0005886,plasma membrane
Rv0793,GO:0055114,oxidation-reduction process
Rv0795,GO:0005886,plasma membrane
Rv0796,GO:0005886,plasma membrane
Rv0799c,GO:0005829,cytosol
Rv0800,GO:0005886,plasma membrane
Rv0802c,GO:0005737,cytoplasm
Rv0803,GO:0005737,cytoplasm
Rv0805,GO:0016020,membrane
Rv0806c,GO:0005618,cell wall
Rv0808,GO:0009116,nucleoside metabolic process
Rv0812,GO:0005886,plasma membrane
Rv0813c,GO:0005886,plasma membrane
Rv0814c,GO:0005886,plasma membrane
Rv0815c,GO:0005886,plasma membrane
Rv0818,GO:0032993,protein-DNA complex
Rv0819,GO:0005829,cytosol
Rv0820,GO:0016020,membrane
Rv0821c,GO:0005737,cytoplasm
Rv0823c,GO:0055114,oxidation-reduction process
Rv0824c,GO:0009986,cell surface
Rv0826,GO:0005886,plasma membrane
Rv0827c,GO:0032025,response to cobalt ion
Rv0830,GO:0005886,plasma membrane
Rv0833,GO:0005886,plasma membrane
Rv0834c,GO:0005886,plasma membrane
Rv0836c,GO:0005886,plasma membrane
Rv0842,GO:0016021,integral component of membrane
Rv0844c,GO:0043189,H4/H2A histone acetyltransferase complex
Rv0845,GO:0016021,integral component of membrane
Rv0848,GO:0005829,cytosol
Rv0849,GO:0016021,integral component of membrane
Rv0852,GO:0016874,ligase activity
Rv0853c,GO:0005886,plasma membrane
Rv0857,GO:0016021,integral component of membrane
Rv0858c,GO:0005737,cytoplasm
Rv0859,GO:0005886,plasma membrane
Rv0861c,GO:0005886,plasma membrane
Rv0863,GO:0009360,DNA polymerase III complex
Rv0864,GO:0006777,Mo-molybdopterin cofactor biosynthetic process
Rv0866,GO:0005829,cytosol
Rv0867c,GO:0005576,extracellular region
Rv0869c,GO:0019008,molybdopterin synthase complex
Rv0872c,GO:0032993,protein-DNA complex
Rv0873,GO:0005886,plasma membrane
Rv0874c,GO:0016021,integral component of membrane
Rv0875c,GO:0005886,plasma membrane
Rv0876c,GO:0016021,integral component of membrane
Rv0877,GO:0016021,integral component of membrane
Rv0878c,GO:0016021,integral component of membrane
Rv0879c,GO:0016021,integral component of membrane
Rv0880,GO:0006355,"regulation of transcription, DNA-templated"
Rv0881,GO:0032259,methylation
Rv0882,GO:0016021,integral component of membrane
Rv0883c,GO:0005576,extracellular region
Rv0884c,GO:0005886,plasma membrane
Rv0885,GO:0016021,integral component of membrane
Rv0886,GO:0005886,plasma membrane
Rv0887c,GO:0005737,cytoplasm
Rv0888,GO:0046930,pore complex
Rv0889c,GO:0005829,cytosol
Rv0890c,GO:0005829,cytosol
Rv0891c,GO:0005829,cytosol
Rv0892,GO:0005618,cell wall
Rv0893c,GO:0032259,methylation
Rv0894,GO:0005829,cytosol
Rv0895,GO:0005886,plasma membrane
Rv0896,GO:0005886,plasma membrane
Rv0897c,GO:0016021,integral component of membrane
Rv0898c,GO:0016747,"transferase activity, transferring acyl groups other than amino-acyl groups"
Rv0899,GO:0016021,integral component of membrane
Rv0900,GO:0016021,integral component of membrane
Rv0901,GO:0016021,integral component of membrane
Rv0902c,GO:0016021,integral component of membrane
Rv0903c,GO:0032993,protein-DNA complex
Rv0904c,GO:0009317,acetyl-CoA carboxylase complex
Rv0905,GO:0005886,plasma membrane
Rv0906,GO:0005737,cytoplasm
Rv0907,GO:0005886,plasma membrane
Rv0908,GO:0043231,intracellular membrane-bounded organelle
Rv0909,GO:0045927,positive regulation of growth
Rv0910,GO:0090501,RNA phosphodiester bond hydrolysis
Rv0915c,GO:0016021,integral component of membrane
Rv0917,GO:0016021,integral component of membrane
Rv0924c,GO:0016021,integral component of membrane
Rv0927c,GO:0005886,plasma membrane
Rv0928,ABC) transporter comple,ATP-binding cassette 
Rv0929,GO:0016021,integral component of membrane
Rv0930,GO:0016021,integral component of membrane
Rv0931c,GO:0016021,integral component of membrane
Rv0932c,ABC) transporter comple,ATP-binding cassette 
Rv0933,GO:0016020,membrane
Rv0934,ABC) transporter comple,ATP-binding cassette 
Rv0935,GO:0016021,integral component of membrane
Rv0936,GO:0016021,integral component of membrane
Rv0937c,GO:0051351,positive regulation of ligase activity
Rv0938,GO:0005886,plasma membrane
Rv0940c,GO:0005886,plasma membrane
Rv0941c,GO:0005829,cytosol
Rv0942,GO:0005886,plasma membrane
Rv0943c,GO:0005886,plasma membrane
Rv0944,GO:0006289,nucleotide-excision repair
Rv0945,GO:0055114,oxidation-reduction process
Rv0946c,GO:0005886,plasma membrane
Rv0948c,GO:0005886,plasma membrane
Rv0949,GO:0033202,DNA helicase complex
Rv0951,GO:0042709,succinate-CoA ligase complex
Rv0952,GO:0005886,plasma membrane
Rv0953c,GO:0055114,oxidation-reduction process
Rv0954,GO:0016021,integral component of membrane
Rv0955,GO:0016021,integral component of membrane
Rv0956,GO:0005829,cytosol
Rv0957,GO:0005886,plasma membrane
Rv0959,GO:0005886,plasma membrane
Rv0959A,GO:0006355,"regulation of transcription, DNA-templated"
Rv0960,GO:0090501,RNA phosphodiester bond hydrolysis
Rv0961,GO:0016021,integral component of membrane
Rv0962c,GO:0016020,membrane
Rv0963c,GO:0055114,oxidation-reduction process
Rv0964c,GO:0016021,integral component of membrane
Rv0965c,GO:0016021,integral component of membrane
Rv0966c,GO:0005886,plasma membrane
Rv0967,GO:0032993,protein-DNA complex
Rv0968,GO:0005886,plasma membrane
Rv0969,GO:0016021,integral component of membrane
Rv0970,GO:0016021,integral component of membrane
Rv0972c,GO:0005886,plasma membrane
Rv0974c,GO:1905202,methylcrotonoyl-CoA carboxylase complex
Rv0977,GO:0009986,cell surface
Rv0979A,GO:0015934,large ribosomal subunit
Rv0981,GO:0032993,protein-DNA complex
Rv0982,GO:0016021,integral component of membrane
Rv0985c,GO:0016021,integral component of membrane
Rv0986,GO:0005886,plasma membrane
Rv0994,GO:0005886,plasma membrane
Rv0997,GO:0016021,integral component of membrane
Rv0998,GO:0005829,cytosol
Rv0999,GO:0005886,plasma membrane
Rv1001,GO:0005886,plasma membrane
Rv1002c,GO:0016021,integral component of membrane
Rv1003,GO:0005886,plasma membrane
Rv1005c,GO:0005886,plasma membrane
Rv1007c,GO:0005886,plasma membrane
Rv1008,GO:0005886,plasma membrane
