locus,gene_weight,gene_name,gene_product,COG,operon,regulator,link
Rv0146,0.0841704685,Rv0146,S-adenosylmethionine-dependent methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",Op106,"Rv0023,Rv0653c,trcR,Rv1816,cmtR,Rv2989,whiB4,Rv3736",https://mycobrowser.epfl.ch/genes/Rv0146
Rv2729c,0.0833686473,Rv2729c,integral membrane protein,Amino acid transport and metabolism,Op1725,"Rv0328,Rv1353c,Rv1816,Rv2324,sigH",https://mycobrowser.epfl.ch/genes/Rv2729c
Rv1192,0.07904385950000001,Rv1192,hypothetical protein,Function unknown,Op781,"Rv0691c,Rv1776c,Rv1816,devR,Rv3488,lsr2",https://mycobrowser.epfl.ch/genes/Rv1192
Rv2518c,0.0755981116,ldtB,L%2CD-transpeptidase LdtB,Function unknown,Op1591,"whiB5,Rv0023,Rv0047c,Rv0465c,Rv0767c,Rv1353c,whiA,Rv1776c,Rv3249c",https://mycobrowser.epfl.ch/genes/Rv2518c
Rv2640c,0.0736231397,Rv2640c,ArsR family transcriptional regulator,Transcription,Op1667,"csoR,Rv2642,whiB4,HPT-2b Induced",https://mycobrowser.epfl.ch/genes/Rv2640c
Rv1194c,0.0713605992,Rv1194c,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Op782,"Rv0081,Rv0465c,Rv0691c,mprA,mprB,Rv1353c,marR,lsr2",https://mycobrowser.epfl.ch/genes/Rv1194c
RV1984a,0.071336378,RV1984a,hypothetical protein,Function unknown,Op1243,,https://mycobrowser.epfl.ch/genes/RV1984a
Rv0867c,0.0705784538,rpfA,resuscitation-promoting factor RpfA,Function unknown,Op561,"Rv0023,senX3,regX3,Rv0653c,Rv0678,kmtR,whiA,Rv2324,devR,mtrA,Rv3488,lsr2,Rv3830c",https://mycobrowser.epfl.ch/genes/Rv0867c
Rv0079,0.06998430800000001,Rv0079,hypothetical protein,"Translation, ribosomal structure and biogenesis",Op56,"csoR,mprA,mprB,trcR,Rv3249c",https://mycobrowser.epfl.ch/genes/Rv0079
Rv1778c,0.0696030087,Rv1778c,hypothetical protein,No COG annotation,Op1113,"mprA,mprB,Rv1353c",https://mycobrowser.epfl.ch/genes/Rv1778c
Rv0167,-0.07431917,yrbE1A,membrane protein,"Secondary metabolites biosynthesis, transport, and catabolism",Op123,"Rv0135c,mprA,mprB,trcR,Rv1353c,Rv1473A,Rv1719,Rv1776c,Rv1816,kstR,mce1R",https://mycobrowser.epfl.ch/genes/Rv0167
Rv0168,-0.0758514803,yrbE1B,membrane protein,"Secondary metabolites biosynthesis, transport, and catabolism",Op123,"whiB5,Rv0023,Rv0081,Rv0135c,Rv0324,phoP,trcR,Rv1049,sigI,Rv1353c,Rv1473A,Rv1719,Rv1776c,Rv1816,lysG,Rv2011c,Rv2250c,Rv2324,hrcA,Rv3066,moaR1,devR,Rv3167c,Rv3249c,whiB3,lsr2,espR,mce1R",https://mycobrowser.epfl.ch/genes/Rv0168
Rv1553,-0.0758966326,frdB,fumarate reductase iron-sulfur subunit,Energy production and conversion,Op994,"Rv0081,Rv0678,csoR,Rv1353c,Rv1816,Rv2250c,devR",https://mycobrowser.epfl.ch/genes/Rv1553
Rv0250c,-0.0764182721,Rv0250c,hypothetical protein,No COG annotation,Op174,"Rv0023,Rv0081,Rv0135c,hspR,Rv0678,phoP,Rv0818,trcR,Rv1353c,Rv1473A,Rv1816,devR,lsr2,whiB4",https://mycobrowser.epfl.ch/genes/Rv0250c
Rv0458,-0.076695157,Rv0458,aldehyde dehydrogenase,Energy production and conversion,Op305,"whiB5,csoR,bkaR,Rv3736",https://mycobrowser.epfl.ch/genes/Rv0458
Rv0104,-0.0791011031,Rv0104,hypothetical protein,Coenzyme transport and metabolism,Op68,"Rv0023,Rv0324,trcR,Rv1776c,Rv1816,mbcA,Rv2250c",https://mycobrowser.epfl.ch/genes/Rv0104
Rv0655,-0.0866523638,mkl,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,Op429,"Rv0081,Rv0135c,Rv0678,csoR,mprA,mprB,Rv1049,Rv1255c,Rv1353c,Rv1473A,mbcA,Rv2011c,Rv2324,Rv2779c,Rv3249c,Rv3736",https://mycobrowser.epfl.ch/genes/Rv0655
Rv0459,-0.0949691483,Rv0459,hypothetical protein,Function unknown,Op305,"Rv0324,csoR,Rv3736",https://mycobrowser.epfl.ch/genes/Rv0459
Rv0166,-0.0973634899,fadD5,fatty-acid--CoA ligase FadD5,Lipid transport and metabolism,Op122,"whiB5,oxyS,Rv0135c,Rv0158,Rv0324,Rv0678,phoP,Rv0767c,mprA,mprB,Rv1049,sigI,pyrR,Rv1776c,cmtR,vapB15,Rv2250c,hrcA,Rv2642,Rv3066,moaR1,Rv3167c,Rv3249c,whiB3,lsr2,Rv3736,tcrX,espR,mce1R",https://mycobrowser.epfl.ch/genes/Rv0166
Rv1550,-0.1002099169,fadD11,fatty-acid--CoA ligase FadD11,Lipid transport and metabolism,Op993,"Rv0023,Rv0135c,Rv0302,Rv0324,Rv0818,Rv1353c,mbcA,Rv2250c,Rv3249c,Rv3488,lsr2,Rv3736",https://mycobrowser.epfl.ch/genes/Rv1550
Rv2485c,-0.1026007943,lipQ,carboxylesterase LipQ,Lipid transport and metabolism,Op1570,"Rv0023,mprA,mprB,whiA,Rv1776c,Rv1816,Rv2250c,sigH,lsr2",https://mycobrowser.epfl.ch/genes/Rv2485c
Rv1552,-0.1070145381,frdA,fumarate reductase flavoprotein subunit,Energy production and conversion,Op994,"Rv0081,lysG,Rv2021c,ideR",https://mycobrowser.epfl.ch/genes/Rv1552
Rv0165c,-0.1191252887,mce1R,transcriptional regulator Mce1R,Transcription,Op121,"Rv0047c,Rv0135c,Rv0324,Rv1776c,cmtR,Rv3066,Rv3249c,lsr2,Rv3736,mce1R",https://mycobrowser.epfl.ch/genes/Rv0165c
