locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Rv0576,link
Rv1895,0.0658264356,Rv1895,zinc-binding alcohol dehydrogenase,Amino acid transport and metabolism,Op1189,"whiB5,Rv0023,Rv0081,Rv0465c,mprA,mprB,Rv1353c,Rv2011c,kstR",False,https://mycobrowser.epfl.ch/genes/Rv1895
Rv2012,0.06464575310000001,Rv2012,hypothetical protein,Function unknown,Op1266,"Rv0081,Rv0324,mprA,mprB,Rv2011c,sigH,Rv3830c",False,https://mycobrowser.epfl.ch/genes/Rv2012
Rv2016,0.0634263278,Rv2016,hypothetical protein,No COG annotation,Op1268,"csoR,Rv1776c,sigH,whiB4",False,https://mycobrowser.epfl.ch/genes/Rv2016
Rv2619c,0.06307630460000001,Rv2619c,hypothetical protein,Function unknown,Op1651,"Rv0081,mprA,mprB,Rv2034,Rv2621c,Rv2887,devR",False,https://mycobrowser.epfl.ch/genes/Rv2619c
Rv0384c,0.0628839274,clpB,chaperone protein ClpB,"Post-translational modification, protein turnover,and chaperones",Op260,"Rv0195,Rv0653c,csoR,mprA,mprB,Rv1353c,Rv1719,sigH,whiB4",False,https://mycobrowser.epfl.ch/genes/Rv0384c
Rv3463,0.0620243274,Rv3463,hypothetical protein,Energy production and conversion,Op2168,"ssb,Rv0135c,csoR,Rv1353c,Rv1816,lysG,Rv2011c,whiB1,sigH,whiB4,espR,Copper Induced,HPT-2b Induced",False,https://mycobrowser.epfl.ch/genes/Rv3463
Rv1674c,0.061432697300000005,Rv1674c,transcriptional regulator,Transcription,Op1052,"Rv0324,sigH,whiB4,HPT-2b Induced",False,https://mycobrowser.epfl.ch/genes/Rv1674c
Rv2622,0.061362149000000005,Rv2622,methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",Op1652,"Rv0081,mprA,mprB,Rv2621c,whiB4",False,https://mycobrowser.epfl.ch/genes/Rv2622
Rv0587,0.0584721759,yrbE2A,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Op389,"Rv0081,Rv0678,csoR,Rv1353c,devR,ideR",False,https://mycobrowser.epfl.ch/genes/Rv0587
Rv2466c,0.0574001907,Rv2466c,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Op1561,"Rv0135c,sigL,mprA,mprB,Rv1353c,Rv1816,devR,sigH,Rv3249c,whiB4,Copper Induced,HPT-2b Induced",False,https://mycobrowser.epfl.ch/genes/Rv2466c
Rv3334,0.0570397075,Rv3334,MerR family transcriptional regulator,Transcription,Op2086,"Rv3334,whiB4",False,https://mycobrowser.epfl.ch/genes/Rv3334
Rv3252c,0.0555850151,alkB,transmembrane alkane 1-monooxygenase AlkB,Lipid transport and metabolism,Op2039,"Rv0023,Rv0081,mprA,mprB,trcR,Rv1255c,Rv1353c,lysG,sigH,Rv3249c,Rv3488,kstR,lsr2,whiB4,tcrX",False,https://mycobrowser.epfl.ch/genes/Rv3252c
Rv2516c,0.0552734957,Rv2516c,hypothetical protein,No COG annotation,Op1590,"Rv0023,Rv0047c,mprA,mprB,trcR,Rv1353c,Rv3249c,Rv3488,whiB4",False,https://mycobrowser.epfl.ch/genes/Rv2516c
Rv1386,0.05525529,PE15,PE family protein PE15,Function unknown,Op893,,False,https://mycobrowser.epfl.ch/genes/Rv1386
Rv1286,0.054960319,Rv1286,adenylyl-sulfate kinase,Inorganic ion transport and metabolism,Op843,"Rv1287,Rv1353c,Rv1816,Rv2989,sigH,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv1286
Rv2780,-0.0576217855,ald,L-alanine dehydrogenase,Energy production and conversion,Op1756,"senX3,regX3,csoR,trcR,Rv1473A,Rv2324,Rv3249c",False,https://mycobrowser.epfl.ch/genes/Rv2780
